event_name,timestamp,parameters
deposit_collateral,0.0,"{""deposit_amount"": 822845428, ""user_index"": 0, ""username"": ""multiple-openclose""}"
deposit_collateral,1.0,"{""deposit_amount"": 812233732, ""user_index"": 1, ""username"": ""multiple-openclose""}"
deposit_collateral,2.0,"{""deposit_amount"": 882238015, ""user_index"": 2, ""username"": ""multiple-openclose""}"
deposit_collateral,3.0,"{""deposit_amount"": 1071237254, ""user_index"": 3, ""username"": ""multiple-openclose""}"
deposit_collateral,4.0,"{""deposit_amount"": 875978241, ""user_index"": 4, ""username"": ""multiple-openclose""}"
deposit_collateral,5.0,"{""deposit_amount"": 200000000000000, ""user_index"": 5, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,6.0,"{""deposit_amount"": 200000000000000, ""user_index"": 6, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,7.0,"{""deposit_amount"": 200000000000000, ""user_index"": 7, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,8.0,"{""deposit_amount"": 200000000000000, ""user_index"": 8, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,9.0,"{""deposit_amount"": 200000000000000, ""user_index"": 9, ""username"": ""multiple-liquidity-provider""}"
open_position,10.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 2048987, ""user_index"": 0}"
oracle_price,10.0,"{""conf"": 0, ""market_index"": 0, ""price"": 1652075611.0, ""slot"": 0}"
open_position,10.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 84388120, ""user_index"": 0}"
oracle_price,10.0,"{""conf"": 0, ""market_index"": 0, ""price"": 1652075611.0, ""slot"": 0}"
open_position,10.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 18296091, ""user_index"": 0}"
oracle_price,10.0,"{""conf"": 0, ""market_index"": 0, ""price"": 1652075611.0, ""slot"": 0}"
open_position,10.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 4937415, ""user_index"": 0}"
oracle_price,10.0,"{""conf"": 0, ""market_index"": 0, ""price"": 1652075611.0, ""slot"": 0}"
open_position,10.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 4061666, ""user_index"": 0}"
oracle_price,10.0,"{""conf"": 0, ""market_index"": 0, ""price"": 1652075611.0, ""slot"": 0}"
open_position,10.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 95356521, ""user_index"": 0}"
oracle_price,10.0,"{""conf"": 0, ""market_index"": 0, ""price"": 1652075611.0, ""slot"": 0}"
open_position,10.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 50026145, ""user_index"": 0}"
oracle_price,10.0,"{""conf"": 0, ""market_index"": 0, ""price"": 1652075611.0, ""slot"": 0}"
open_position,10.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 66097392, ""user_index"": 0}"
oracle_price,10.0,"{""conf"": 0, ""market_index"": 0, ""price"": 1652075611.0, ""slot"": 0}"
open_position,10.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 82267610, ""user_index"": 0}"
oracle_price,10.0,"{""conf"": 0, ""market_index"": 0, ""price"": 1652075611.0, ""slot"": 0}"
