event_name,timestamp,parameters
deposit_collateral,0.0,"{""deposit_amount"": 824855444, ""user_index"": 0, ""username"": ""openclose""}"
deposit_collateral,1.0,"{""deposit_amount"": 717412887, ""user_index"": 1, ""username"": ""openclose""}"
deposit_collateral,2.0,"{""deposit_amount"": 830452387, ""user_index"": 2, ""username"": ""openclose""}"
deposit_collateral,3.0,"{""deposit_amount"": 1074579713, ""user_index"": 3, ""username"": ""openclose""}"
deposit_collateral,4.0,"{""deposit_amount"": 716580865, ""user_index"": 4, ""username"": ""openclose""}"
deposit_collateral,5.0,"{""deposit_amount"": 313236614, ""user_index"": 5, ""username"": ""openclose""}"
deposit_collateral,6.0,"{""deposit_amount"": 1241002922, ""user_index"": 6, ""username"": ""openclose""}"
deposit_collateral,7.0,"{""deposit_amount"": 125278080, ""user_index"": 7, ""username"": ""openclose""}"
deposit_collateral,8.0,"{""deposit_amount"": 684237471, ""user_index"": 8, ""username"": ""openclose""}"
deposit_collateral,9.0,"{""deposit_amount"": 286316030, ""user_index"": 9, ""username"": ""openclose""}"
deposit_collateral,10.0,"{""deposit_amount"": 1151683338, ""user_index"": 10, ""username"": ""openclose""}"
deposit_collateral,11.0,"{""deposit_amount"": 1054034995, ""user_index"": 11, ""username"": ""openclose""}"
deposit_collateral,12.0,"{""deposit_amount"": 1053425077, ""user_index"": 12, ""username"": ""openclose""}"
deposit_collateral,13.0,"{""deposit_amount"": 455055295, ""user_index"": 13, ""username"": ""openclose""}"
deposit_collateral,14.0,"{""deposit_amount"": 641924358, ""user_index"": 14, ""username"": ""openclose""}"
deposit_collateral,15.0,"{""deposit_amount"": 1037417205, ""user_index"": 15, ""username"": ""openclose""}"
deposit_collateral,16.0,"{""deposit_amount"": 486458362, ""user_index"": 16, ""username"": ""openclose""}"
deposit_collateral,17.0,"{""deposit_amount"": 298404013, ""user_index"": 17, ""username"": ""openclose""}"
deposit_collateral,18.0,"{""deposit_amount"": 471317531, ""user_index"": 18, ""username"": ""openclose""}"
deposit_collateral,19.0,"{""deposit_amount"": 870325416, ""user_index"": 19, ""username"": ""openclose""}"
open_position,76.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 6598843553, ""user_index"": 0}"
oracle_price,76.0,"{""market_index"": 0, ""price"": 7.161330663195856}"
open_position,78.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 9213466706, ""user_index"": 10}"
oracle_price,78.0,"{""market_index"": 0, ""price"": 7.161330663195856}"
open_position,91.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1002224647, ""user_index"": 7}"
oracle_price,91.0,"{""market_index"": 0, ""price"": 10.08301589583354}"
close_position,96.0,"{""market_index"": 0, ""user_index"": 0}"
oracle_price,96.0,"{""market_index"": 0, ""price"": 10.582555599980727}"
open_position,101.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 2290528247, ""user_index"": 9}"
oracle_price,101.0,"{""market_index"": 0, ""price"": 10.192331251254448}"
close_position,117.0,"{""market_index"": 0, ""user_index"": 9}"
oracle_price,117.0,"{""market_index"": 0, ""price"": 10.100747936397266}"
open_position,188.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 8299337640, ""user_index"": 15}"
oracle_price,188.0,"{""market_index"": 0, ""price"": 6.087960089862272}"
close_position,235.0,"{""market_index"": 0, ""user_index"": 10}"
oracle_price,235.0,"{""market_index"": 0, ""price"": 4.943538327232026}"
open_position,243.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 9928023381, ""user_index"": 6}"
oracle_price,243.0,"{""market_index"": 0, ""price"": 6.952083635426879}"
open_position,244.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 3640442362, ""user_index"": 13}"
oracle_price,244.0,"{""market_index"": 0, ""price"": 6.952083635426879}"
open_position,273.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 6643619101, ""user_index"": 2}"
oracle_price,273.0,"{""market_index"": 0, ""price"": 9.700877979193207}"
open_position,275.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 8427400616, ""user_index"": 12}"
oracle_price,275.0,"{""market_index"": 0, ""price"": 11.764579842318145}"
open_position,279.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 5732646924, ""user_index"": 4}"
oracle_price,279.0,"{""market_index"": 0, ""price"": 11.764579842318145}"
open_position,299.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 8596637709, ""user_index"": 3}"
oracle_price,299.0,"{""market_index"": 0, ""price"": 9.793664407470612}"
open_position,313.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 8432279965, ""user_index"": 11}"
oracle_price,313.0,"{""market_index"": 0, ""price"": 8.506800589835994}"
close_position,326.0,"{""market_index"": 0, ""user_index"": 2}"
oracle_price,326.0,"{""market_index"": 0, ""price"": 7.348805008277443}"
close_position,338.0,"{""market_index"": 0, ""user_index"": 13}"
oracle_price,338.0,"{""market_index"": 0, ""price"": 5.140514503551569}"
close_position,368.0,"{""market_index"": 0, ""user_index"": 6}"
oracle_price,368.0,"{""market_index"": 0, ""price"": 2.898295508248209}"
open_position,375.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 3770540248, ""user_index"": 18}"
oracle_price,375.0,"{""market_index"": 0, ""price"": 3.0412756634690314}"
open_position,381.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 5135394870, ""user_index"": 14}"
oracle_price,381.0,"{""market_index"": 0, ""price"": 2.1355137489334073}"
close_position,389.0,"{""market_index"": 0, ""user_index"": 3}"
oracle_price,389.0,"{""market_index"": 0, ""price"": 2.1355137489334073}"
open_position,412.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 5739303102, ""user_index"": 1}"
oracle_price,412.0,"{""market_index"": 0, ""price"": 1.8840352123435302}"
close_position,422.0,"{""market_index"": 0, ""user_index"": 15}"
oracle_price,422.0,"{""market_index"": 0, ""price"": 2.07677161846156}"
close_position,434.0,"{""market_index"": 0, ""user_index"": 12}"
oracle_price,434.0,"{""market_index"": 0, ""price"": 2.2366125318363252}"
close_position,441.0,"{""market_index"": 0, ""user_index"": 4}"
oracle_price,441.0,"{""market_index"": 0, ""price"": 2.641251757827959}"
close_position,445.0,"{""market_index"": 0, ""user_index"": 18}"
oracle_price,445.0,"{""market_index"": 0, ""price"": 2.641251757827959}"
open_position,454.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 2387232104, ""user_index"": 17}"
oracle_price,454.0,"{""market_index"": 0, ""price"": 1.0}"
open_position,464.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 3891666897, ""user_index"": 16}"
oracle_price,464.0,"{""market_index"": 0, ""price"": 2.130937635135206}"
close_position,507.0,"{""market_index"": 0, ""user_index"": 1}"
oracle_price,507.0,"{""market_index"": 0, ""price"": 4.698644839568317}"
close_position,507.0,"{""market_index"": 0, ""user_index"": 11}"
oracle_price,507.0,"{""market_index"": 0, ""price"": 4.698644839568317}"
