event_name,timestamp,parameters
deposit_collateral,0.0,"{""deposit_amount"": 11906430, ""user_index"": 0, ""username"": ""openclose""}"
deposit_collateral,1.0,"{""deposit_amount"": 6241721, ""user_index"": 1, ""username"": ""openclose""}"
deposit_collateral,2.0,"{""deposit_amount"": 8414844, ""user_index"": 2, ""username"": ""openclose""}"
deposit_collateral,3.0,"{""deposit_amount"": 4312225, ""user_index"": 3, ""username"": ""openclose""}"
deposit_collateral,4.0,"{""deposit_amount"": 8749572, ""user_index"": 4, ""username"": ""openclose""}"
deposit_collateral,5.0,"{""deposit_amount"": 11087326, ""user_index"": 5, ""username"": ""openclose""}"
deposit_collateral,6.0,"{""deposit_amount"": 6638495, ""user_index"": 6, ""username"": ""openclose""}"
deposit_collateral,7.0,"{""deposit_amount"": 8570598, ""user_index"": 7, ""username"": ""openclose""}"
deposit_collateral,8.0,"{""deposit_amount"": 6960380, ""user_index"": 8, ""username"": ""openclose""}"
deposit_collateral,9.0,"{""deposit_amount"": 2183721, ""user_index"": 9, ""username"": ""openclose""}"
deposit_collateral,10.0,"{""deposit_amount"": 1500590, ""user_index"": 10, ""username"": ""openclose""}"
deposit_collateral,11.0,"{""deposit_amount"": 1103488, ""user_index"": 11, ""username"": ""openclose""}"
deposit_collateral,12.0,"{""deposit_amount"": 8570111, ""user_index"": 12, ""username"": ""openclose""}"
deposit_collateral,13.0,"{""deposit_amount"": 8616444, ""user_index"": 13, ""username"": ""openclose""}"
deposit_collateral,14.0,"{""deposit_amount"": 1133879, ""user_index"": 14, ""username"": ""openclose""}"
deposit_collateral,15.0,"{""deposit_amount"": 5314198, ""user_index"": 15, ""username"": ""openclose""}"
deposit_collateral,16.0,"{""deposit_amount"": 2703299, ""user_index"": 16, ""username"": ""openclose""}"
deposit_collateral,17.0,"{""deposit_amount"": 6553022, ""user_index"": 17, ""username"": ""openclose""}"
deposit_collateral,18.0,"{""deposit_amount"": 6256257, ""user_index"": 18, ""username"": ""openclose""}"
deposit_collateral,19.0,"{""deposit_amount"": 5591123, ""user_index"": 19, ""username"": ""openclose""}"
open_position,28.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 69996578, ""user_index"": 4}"
oracle_price,28.0,"{""market_index"": 0, ""price"": 14.659655196939212}"
open_position,38.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 68564785, ""user_index"": 7}"
oracle_price,38.0,"{""market_index"": 0, ""price"": 15.287548821080762}"
open_position,46.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 95251444, ""user_index"": 0}"
oracle_price,46.0,"{""market_index"": 0, ""price"": 15.670150853838209}"
open_position,58.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 55683041, ""user_index"": 8}"
oracle_price,58.0,"{""market_index"": 0, ""price"": 14.456499950966062}"
open_position,67.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 49933771, ""user_index"": 1}"
oracle_price,67.0,"{""market_index"": 0, ""price"": 13.493961797372151}"
open_position,108.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 42513590, ""user_index"": 15}"
oracle_price,108.0,"{""market_index"": 0, ""price"": 13.958087498252823}"
close_position,112.0,"{""market_index"": 0, ""user_index"": 4}"
oracle_price,112.0,"{""market_index"": 0, ""price"": 13.958087498252823}"
open_position,121.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 21626398, ""user_index"": 16}"
oracle_price,121.0,"{""market_index"": 0, ""price"": 12.291981956363031}"
close_position,144.0,"{""market_index"": 0, ""user_index"": 16}"
oracle_price,144.0,"{""market_index"": 0, ""price"": 12.704775427590832}"
close_position,145.0,"{""market_index"": 0, ""user_index"": 1}"
oracle_price,145.0,"{""market_index"": 0, ""price"": 12.704775427590832}"
close_position,147.0,"{""market_index"": 0, ""user_index"": 8}"
oracle_price,147.0,"{""market_index"": 0, ""price"": 12.50363082638411}"
open_position,147.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 8827910, ""user_index"": 11}"
oracle_price,147.0,"{""market_index"": 0, ""price"": 12.50363082638411}"
open_position,156.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 67318752, ""user_index"": 2}"
oracle_price,156.0,"{""market_index"": 0, ""price"": 12.18296979470361}"
open_position,156.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 34497802, ""user_index"": 3}"
oracle_price,156.0,"{""market_index"": 0, ""price"": 12.18296979470361}"
close_position,163.0,"{""market_index"": 0, ""user_index"": 7}"
oracle_price,163.0,"{""market_index"": 0, ""price"": 12.100111612603158}"
open_position,194.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 68560895, ""user_index"": 12}"
oracle_price,194.0,"{""market_index"": 0, ""price"": 10.308072196164503}"
open_position,194.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 44728986, ""user_index"": 19}"
oracle_price,194.0,"{""market_index"": 0, ""price"": 10.308072196164503}"
close_position,195.0,"{""market_index"": 0, ""user_index"": 11}"
oracle_price,195.0,"{""market_index"": 0, ""price"": 10.308072196164503}"
close_position,198.0,"{""market_index"": 0, ""user_index"": 15}"
oracle_price,198.0,"{""market_index"": 0, ""price"": 7.557352839734719}"
open_position,210.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 50050063, ""user_index"": 18}"
oracle_price,210.0,"{""market_index"": 0, ""price"": 5.9058543114594215}"
close_position,215.0,"{""market_index"": 0, ""user_index"": 0}"
oracle_price,215.0,"{""market_index"": 0, ""price"": 4.262883682516289}"
open_position,217.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 53107961, ""user_index"": 6}"
oracle_price,217.0,"{""market_index"": 0, ""price"": 4.262883682516289}"
close_position,220.0,"{""market_index"": 0, ""user_index"": 18}"
oracle_price,220.0,"{""market_index"": 0, ""price"": 4.262883682516289}"
open_position,224.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 17469770, ""user_index"": 9}"
oracle_price,224.0,"{""market_index"": 0, ""price"": 5.3160247453010925}"
close_position,229.0,"{""market_index"": 0, ""user_index"": 6}"
oracle_price,229.0,"{""market_index"": 0, ""price"": 2.5885733041071006}"
open_position,258.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 68931556, ""user_index"": 13}"
oracle_price,258.0,"{""market_index"": 0, ""price"": 4.805673101548578}"
open_position,275.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 12004723, ""user_index"": 10}"
oracle_price,275.0,"{""market_index"": 0, ""price"": 4.757511085449991}"
close_position,282.0,"{""market_index"": 0, ""user_index"": 3}"
oracle_price,282.0,"{""market_index"": 0, ""price"": 4.510962698973557}"
open_position,302.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 88698609, ""user_index"": 5}"
oracle_price,302.0,"{""market_index"": 0, ""price"": 4.1140112779569336}"
close_position,318.0,"{""market_index"": 0, ""user_index"": 19}"
oracle_price,318.0,"{""market_index"": 0, ""price"": 2.923025570085585}"
open_position,322.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 9071032, ""user_index"": 14}"
oracle_price,322.0,"{""market_index"": 0, ""price"": 2.923025570085585}"
close_position,324.0,"{""market_index"": 0, ""user_index"": 12}"
oracle_price,324.0,"{""market_index"": 0, ""price"": 2.667009324177414}"
close_position,334.0,"{""market_index"": 0, ""user_index"": 2}"
oracle_price,334.0,"{""market_index"": 0, ""price"": 2.7827619602939677}"
close_position,344.0,"{""market_index"": 0, ""user_index"": 5}"
oracle_price,344.0,"{""market_index"": 0, ""price"": 2.8547828801151667}"
open_position,345.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 52424182, ""user_index"": 17}"
oracle_price,345.0,"{""market_index"": 0, ""price"": 2.8547828801151667}"
close_position,355.0,"{""market_index"": 0, ""user_index"": 10}"
oracle_price,355.0,"{""market_index"": 0, ""price"": 2.113941456402827}"
close_position,372.0,"{""market_index"": 0, ""user_index"": 14}"
oracle_price,372.0,"{""market_index"": 0, ""price"": 3.4179467194854}"
close_position,376.0,"{""market_index"": 0, ""user_index"": 9}"
oracle_price,376.0,"{""market_index"": 0, ""price"": 3.4179467194854}"
close_position,10000000000432.0,"{""market_index"": 0, ""user_index"": 13}"
close_position,10000000000433.0,"{""market_index"": 0, ""user_index"": 17}"
