event_name,timestamp,parameters
deposit_collateral,0,"{""deposit_amount"": 1101539753, ""user_index"": 0, ""username"": ""multiple-openclose""}"
deposit_collateral,1,"{""deposit_amount"": 1033937635, ""user_index"": 1, ""username"": ""multiple-openclose""}"
deposit_collateral,2,"{""deposit_amount"": 911613900, ""user_index"": 2, ""username"": ""multiple-openclose""}"
deposit_collateral,3,"{""deposit_amount"": 923496335, ""user_index"": 3, ""username"": ""multiple-openclose""}"
deposit_collateral,4,"{""deposit_amount"": 1077363171, ""user_index"": 4, ""username"": ""multiple-openclose""}"
deposit_collateral,5,"{""deposit_amount"": 200000000000000, ""user_index"": 5, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,6,"{""deposit_amount"": 200000000000000, ""user_index"": 6, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,7,"{""deposit_amount"": 200000000000000, ""user_index"": 7, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,8,"{""deposit_amount"": 200000000000000, ""user_index"": 8, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,9,"{""deposit_amount"": 200000000000000, ""user_index"": 9, ""username"": ""multiple-liquidity-provider""}"
oracle_price,564,"{""conf"": 0, ""market_index"": 0, ""price"": 63.28092776, ""slot"": 0}"
open_position,564,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 5399972, ""user_index"": 4}"
oracle_price,676,"{""conf"": 0, ""market_index"": 0, ""price"": 63.35237528, ""slot"": 0}"
add_liquidity,676,"{""market_index"": 0, ""token_amount"": 53598543899, ""user_index"": 6}"
oracle_price,1236,"{""conf"": 0, ""market_index"": 0, ""price"": 63.76486, ""slot"": 0}"
open_position,1236,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 17319329, ""user_index"": 1}"
oracle_price,1394,"{""conf"": 0, ""market_index"": 0, ""price"": 63.3937, ""slot"": 0}"
add_liquidity,1394,"{""market_index"": 0, ""token_amount"": 94077436093, ""user_index"": 5}"
oracle_price,2494,"{""conf"": 0, ""market_index"": 0, ""price"": 62.9345, ""slot"": 0}"
open_position,2494,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 88063810, ""user_index"": 0}"
oracle_price,3805,"{""conf"": 0, ""market_index"": 0, ""price"": 63.16014045, ""slot"": 0}"
add_liquidity,3805,"{""market_index"": 0, ""token_amount"": 10897982593, ""user_index"": 9}"
