event_name,timestamp,parameters
deposit_collateral,0.0,"{""deposit_amount"": 10000000000000, ""user_index"": 0, ""username"": ""LP""}"
deposit_collateral,1.0,"{""deposit_amount"": 10000000000000, ""user_index"": 1, ""username"": ""LP""}"
deposit_collateral,2.0,"{""deposit_amount"": 10000000000000, ""user_index"": 2, ""username"": ""LP""}"
deposit_collateral,3.0,"{""deposit_amount"": 10000000000000, ""user_index"": 3, ""username"": ""LP""}"
deposit_collateral,4.0,"{""deposit_amount"": 10000000000000, ""user_index"": 4, ""username"": ""LP""}"
deposit_collateral,5.0,"{""deposit_amount"": 10000000000000, ""user_index"": 5, ""username"": ""LP""}"
deposit_collateral,6.0,"{""deposit_amount"": 10000000000000, ""user_index"": 6, ""username"": ""LP""}"
deposit_collateral,7.0,"{""deposit_amount"": 10000000000000, ""user_index"": 7, ""username"": ""LP""}"
deposit_collateral,8.0,"{""deposit_amount"": 10000000000000, ""user_index"": 8, ""username"": ""LP""}"
deposit_collateral,9.0,"{""deposit_amount"": 10000000000000, ""user_index"": 9, ""username"": ""LP""}"
deposit_collateral,20.0,"{""deposit_amount"": 36520000000, ""user_index"": 10, ""username"": ""openclose""}"
deposit_collateral,21.0,"{""deposit_amount"": 26076000000, ""user_index"": 11, ""username"": ""openclose""}"
deposit_collateral,22.0,"{""deposit_amount"": 73273000000, ""user_index"": 12, ""username"": ""openclose""}"
deposit_collateral,23.0,"{""deposit_amount"": 90318000000, ""user_index"": 13, ""username"": ""openclose""}"
deposit_collateral,24.0,"{""deposit_amount"": 3312000000, ""user_index"": 14, ""username"": ""openclose""}"
deposit_collateral,25.0,"{""deposit_amount"": 41661000000, ""user_index"": 15, ""username"": ""openclose""}"
deposit_collateral,26.0,"{""deposit_amount"": 99769000000, ""user_index"": 16, ""username"": ""openclose""}"
deposit_collateral,27.0,"{""deposit_amount"": 78822000000, ""user_index"": 17, ""username"": ""openclose""}"
deposit_collateral,28.0,"{""deposit_amount"": 63339000000, ""user_index"": 18, ""username"": ""openclose""}"
deposit_collateral,29.0,"{""deposit_amount"": 3328000000, ""user_index"": 19, ""username"": ""openclose""}"
add_liquidity,30.0,"{""market_index"": 0, ""token_amount"": 8305897223687961885, ""user_index"": 7}"
open_position,30.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 36520000000, ""user_index"": 10}"
open_position,35.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 3312000000, ""user_index"": 14}"
remove_liquidity,43.0,"{""lp_token_amount"": 8305897223687961885, ""market_index"": 0, ""user_index"": 7}"
open_position,51.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 26076000000, ""user_index"": 11}"
add_liquidity,56.0,"{""market_index"": 0, ""token_amount"": 7322697390819843937, ""user_index"": 4}"
settle_lp,57.0,"{""market_index"": 0, ""user_index"": 4}"
open_position,93.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 78822000000, ""user_index"": 17}"
close_position,94.0,"{""market_index"": 0, ""user_index"": 11}"
close_position,106.0,"{""market_index"": 0, ""user_index"": 14}"
settle_lp,114.0,"{""market_index"": 0, ""user_index"": 4}"
add_liquidity,118.0,"{""market_index"": 0, ""token_amount"": 1342754676490566020, ""user_index"": 8}"
add_liquidity,121.0,"{""market_index"": 0, ""token_amount"": 8972741193299527272, ""user_index"": 0}"
add_liquidity,124.0,"{""market_index"": 0, ""token_amount"": 3053337499475109144, ""user_index"": 9}"
open_position,146.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 41661000000, ""user_index"": 15}"
close_position,155.0,"{""market_index"": 0, ""user_index"": 10}"
close_position,155.0,"{""market_index"": 0, ""user_index"": 17}"
settle_lp,160.0,"{""market_index"": 0, ""user_index"": 0}"
settle_lp,171.0,"{""market_index"": 0, ""user_index"": 4}"
open_position,181.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 73273000000, ""user_index"": 12}"
remove_liquidity,196.0,"{""lp_token_amount"": 3053337499475109144, ""market_index"": 0, ""user_index"": 9}"
remove_liquidity,205.0,"{""lp_token_amount"": 8972741193299527272, ""market_index"": 0, ""user_index"": 0}"
settle_lp,219.0,"{""market_index"": 0, ""user_index"": 8}"
settle_lp,228.0,"{""market_index"": 0, ""user_index"": 4}"
close_position,233.0,"{""market_index"": 0, ""user_index"": 12}"
add_liquidity,244.0,"{""market_index"": 0, ""token_amount"": 7555183475572088071, ""user_index"": 6}"
remove_liquidity,247.0,"{""lp_token_amount"": 7555183475572088071, ""market_index"": 0, ""user_index"": 6}"
add_liquidity,250.0,"{""market_index"": 0, ""token_amount"": 4791465470112728856, ""user_index"": 3}"
remove_liquidity,256.0,"{""lp_token_amount"": 1342754676490566020, ""market_index"": 0, ""user_index"": 8}"
add_liquidity,257.0,"{""market_index"": 0, ""token_amount"": 9665453134219859893, ""user_index"": 5}"
remove_liquidity,260.0,"{""lp_token_amount"": 4791465470112728856, ""market_index"": 0, ""user_index"": 3}"
remove_liquidity,265.0,"{""lp_token_amount"": 7322697390819843937, ""market_index"": 0, ""user_index"": 4}"
close_position,297.0,"{""market_index"": 0, ""user_index"": 15}"
add_liquidity,298.0,"{""market_index"": 0, ""token_amount"": 9381006074487237544, ""user_index"": 2}"
remove_liquidity,299.0,"{""lp_token_amount"": 9381006074487237544, ""market_index"": 0, ""user_index"": 2}"
settle_lp,300.0,"{""market_index"": 0, ""user_index"": 5}"
add_liquidity,318.0,"{""market_index"": 0, ""token_amount"": 3832730528192662516, ""user_index"": 1}"
remove_liquidity,334.0,"{""lp_token_amount"": 9665453134219859893, ""market_index"": 0, ""user_index"": 5}"
open_position,383.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 90318000000, ""user_index"": 13}"
close_position,389.0,"{""market_index"": 0, ""user_index"": 13}"
settle_lp,396.0,"{""market_index"": 0, ""user_index"": 1}"
open_position,408.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 99769000000, ""user_index"": 16}"
open_position,421.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 63339000000, ""user_index"": 18}"
remove_liquidity,425.0,"{""lp_token_amount"": 3832730528192662516, ""market_index"": 0, ""user_index"": 1}"
open_position,436.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 3328000000, ""user_index"": 19}"
close_position,439.0,"{""market_index"": 0, ""user_index"": 18}"
close_position,466.0,"{""market_index"": 0, ""user_index"": 19}"
close_position,10000000000499.0,"{""market_index"": 0, ""user_index"": 0}"
