event_name,timestamp,parameters
deposit_collateral,0,"{""deposit_amount"": 100000000000, ""mint_amount"": 0, ""spot_market_index"": 0, ""user_index"": 0, ""username"": ""liquidator""}"
deposit_collateral,0,"{""deposit_amount"": 0, ""mint_amount"": 0, ""spot_market_index"": 1, ""user_index"": 0, ""username"": ""liquidator""}"
deposit_collateral,2,"{""deposit_amount"": 25900298, ""mint_amount"": 0, ""spot_market_index"": 1, ""user_index"": 1, ""username"": ""openclose""}"
liquidate,3,"{""user_index"": 0}"
open_position,25,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 25900298, ""user_index"": 1}"
perp_oracle_price,25,"{""conf"": 0, ""market_index"": 0, ""price"": 1.0661583113183895, ""slot"": 0}"
spot_oracle_price,25,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,26,"{""user_index"": 0}"
update_k,40,"{""market_index"": 0, ""sqrt_k"": 367613721102728}"
update_k,30,"{""market_index"": 0, ""sqrt_k"": 367621073524199}"
perp_oracle_price,31,"{""conf"": 0, ""market_index"": 0, ""price"": 1.0989694099591532, ""slot"": 0}"
liquidate,32,"{""user_index"": 0}"
repeg,35,"{""market_index"": 0, ""peg"": 1020000}"
liquidate,37,"{""user_index"": 0}"
perp_oracle_price,41,"{""conf"": 0, ""market_index"": 0, ""price"": 1.1218753803543393, ""slot"": 0}"
liquidate,42,"{""user_index"": 0}"
close_position,75,"{""market_index"": 0, ""user_index"": 1}"
perp_oracle_price,75,"{""conf"": 0, ""market_index"": 0, ""price"": 1.1976331600930763, ""slot"": 0}"
liquidate,76,"{""user_index"": 0}"
