event_name,timestamp,parameters
deposit_collateral,0,"{""deposit_amount"": 100000000000, ""mint_amount"": 0, ""spot_market_index"": 0, ""user_index"": 0, ""username"": ""liquidator""}"
deposit_collateral,0,"{""deposit_amount"": 0, ""mint_amount"": 0, ""spot_market_index"": 1, ""user_index"": 0, ""username"": ""liquidator""}"
deposit_collateral,2,"{""deposit_amount"": 100000000000, ""mint_amount"": 0, ""spot_market_index"": 1, ""user_index"": 1, ""username"": ""borrower""}"
liquidate,3,"{""user_index"": 0}"
_mid_sim_deposit_collateral,3,"{""deposit_amount"": 70000000000.0, ""mint_amount"": 0, ""reduce_only"": false, ""spot_market_index"": 0, ""user_index"": 0, ""username"": ""u""}"
withdraw_collateral,3,"{""reduce_only"": false, ""spot_market_index"": 1, ""user_index"": 0, ""username"": ""u"", ""withdraw_amount"": 70000000000}"
withdraw_collateral,3,"{""reduce_only"": false, ""spot_market_index"": 0, ""user_index"": 1, ""username"": ""u"", ""withdraw_amount"": 70000000000}"
perp_oracle_price,3,"{""conf"": 0, ""market_index"": 0, ""price"": 1.0, ""slot"": 0}"
liquidate,4,"{""user_index"": 0}"
liquidate,5,"{""user_index"": 0}"
liquidate,6,"{""user_index"": 0}"
perp_oracle_price,6,"{""conf"": 0, ""market_index"": 0, ""price"": 1.1449486986808353, ""slot"": 0}"
spot_oracle_price,6,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,7,"{""user_index"": 0}"
perp_oracle_price,7,"{""conf"": 0, ""market_index"": 0, ""price"": 1.1449486986808353, ""slot"": 0}"
spot_oracle_price,7,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,8,"{""user_index"": 0}"
perp_oracle_price,8,"{""conf"": 0, ""market_index"": 0, ""price"": 1.1449486986808353, ""slot"": 0}"
spot_oracle_price,8,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,9,"{""user_index"": 0}"
perp_oracle_price,9,"{""conf"": 0, ""market_index"": 0, ""price"": 1.1449486986808353, ""slot"": 0}"
spot_oracle_price,9,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,10,"{""user_index"": 0}"
perp_oracle_price,10,"{""conf"": 0, ""market_index"": 0, ""price"": 1.1449486986808353, ""slot"": 0}"
spot_oracle_price,10,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,11,"{""user_index"": 0}"
perp_oracle_price,11,"{""conf"": 0, ""market_index"": 0, ""price"": 1.518899030035655, ""slot"": 0}"
spot_oracle_price,11,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,12,"{""user_index"": 0}"
perp_oracle_price,12,"{""conf"": 0, ""market_index"": 0, ""price"": 1.518899030035655, ""slot"": 0}"
spot_oracle_price,12,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,13,"{""user_index"": 0}"
_mid_sim_deposit_collateral,13,"{""deposit_amount"": 70000000000, ""mint_amount"": 0, ""reduce_only"": true, ""spot_market_index"": 1, ""user_index"": 0, ""username"": ""u""}"
_mid_sim_deposit_collateral,13,"{""deposit_amount"": 70000000000, ""mint_amount"": 0, ""reduce_only"": true, ""spot_market_index"": 0, ""user_index"": 1, ""username"": ""u""}"
perp_oracle_price,13,"{""conf"": 0, ""market_index"": 0, ""price"": 1.518899030035655, ""slot"": 0}"
spot_oracle_price,13,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,14,"{""user_index"": 0}"
perp_oracle_price,14,"{""conf"": 0, ""market_index"": 0, ""price"": 1.518899030035655, ""slot"": 0}"
spot_oracle_price,14,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,15,"{""user_index"": 0}"
perp_oracle_price,15,"{""conf"": 0, ""market_index"": 0, ""price"": 2.0012317025518342, ""slot"": 0}"
spot_oracle_price,15,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,16,"{""user_index"": 0}"
perp_oracle_price,16,"{""conf"": 0, ""market_index"": 0, ""price"": 2.0012317025518342, ""slot"": 0}"
spot_oracle_price,16,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,17,"{""user_index"": 0}"
perp_oracle_price,17,"{""conf"": 0, ""market_index"": 0, ""price"": 2.0012317025518342, ""slot"": 0}"
spot_oracle_price,17,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,18,"{""user_index"": 0}"
perp_oracle_price,18,"{""conf"": 0, ""market_index"": 0, ""price"": 2.0012317025518342, ""slot"": 0}"
spot_oracle_price,18,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,19,"{""user_index"": 0}"
perp_oracle_price,19,"{""conf"": 0, ""market_index"": 0, ""price"": 1.4311825716190754, ""slot"": 0}"
spot_oracle_price,19,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,20,"{""user_index"": 0}"
perp_oracle_price,20,"{""conf"": 0, ""market_index"": 0, ""price"": 1.4311825716190754, ""slot"": 0}"
spot_oracle_price,20,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,21,"{""user_index"": 0}"
perp_oracle_price,21,"{""conf"": 0, ""market_index"": 0, ""price"": 1.4311825716190754, ""slot"": 0}"
spot_oracle_price,21,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,22,"{""user_index"": 0}"
perp_oracle_price,22,"{""conf"": 0, ""market_index"": 0, ""price"": 1.7186892824068138, ""slot"": 0}"
spot_oracle_price,22,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,23,"{""user_index"": 0}"
perp_oracle_price,23,"{""conf"": 0, ""market_index"": 0, ""price"": 3.3084310973923152, ""slot"": 0}"
spot_oracle_price,23,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,24,"{""user_index"": 0}"
perp_oracle_price,24,"{""conf"": 0, ""market_index"": 0, ""price"": 3.3084310973923152, ""slot"": 0}"
spot_oracle_price,24,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,25,"{""user_index"": 0}"
perp_oracle_price,25,"{""conf"": 0, ""market_index"": 0, ""price"": 3.3084310973923152, ""slot"": 0}"
spot_oracle_price,25,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,26,"{""user_index"": 0}"
perp_oracle_price,26,"{""conf"": 0, ""market_index"": 0, ""price"": 3.3084310973923152, ""slot"": 0}"
spot_oracle_price,26,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,27,"{""user_index"": 0}"
perp_oracle_price,27,"{""conf"": 0, ""market_index"": 0, ""price"": 3.3084310973923152, ""slot"": 0}"
spot_oracle_price,27,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,28,"{""user_index"": 0}"
perp_oracle_price,28,"{""conf"": 0, ""market_index"": 0, ""price"": 3.3084310973923152, ""slot"": 0}"
spot_oracle_price,28,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,29,"{""user_index"": 0}"
perp_oracle_price,29,"{""conf"": 0, ""market_index"": 0, ""price"": 3.1736842910951424, ""slot"": 0}"
spot_oracle_price,29,"{""conf"": 0, ""market_index"": 1, ""price"": 1.0, ""slot"": 0}"
liquidate,30,"{""user_index"": 0}"
