event_name,timestamp,parameters
deposit_collateral,0,"{""deposit_amount"": 0, ""mint_amount"": 100000000, ""user_index"": 0, ""username"": ""if_staker""}"
init_if_stake,0,"{""market_index"": 0, ""user_index"": 0}"
deposit_collateral,1,"{""deposit_amount"": 0, ""mint_amount"": 100000000, ""user_index"": 1, ""username"": ""if_staker""}"
init_if_stake,1,"{""market_index"": 0, ""user_index"": 1}"
deposit_collateral,2,"{""deposit_amount"": 0, ""mint_amount"": 100000000, ""user_index"": 2, ""username"": ""if_staker""}"
init_if_stake,2,"{""market_index"": 0, ""user_index"": 2}"
deposit_collateral,3,"{""deposit_amount"": 0, ""mint_amount"": 100000000, ""user_index"": 3, ""username"": ""if_staker""}"
init_if_stake,3,"{""market_index"": 0, ""user_index"": 3}"
deposit_collateral,4,"{""deposit_amount"": 0, ""mint_amount"": 100000000, ""user_index"": 4, ""username"": ""if_staker""}"
init_if_stake,4,"{""market_index"": 0, ""user_index"": 4}"
deposit_collateral,5,"{""deposit_amount"": 0, ""mint_amount"": 100000000, ""user_index"": 5, ""username"": ""if_staker""}"
init_if_stake,5,"{""market_index"": 0, ""user_index"": 5}"
deposit_collateral,6,"{""deposit_amount"": 0, ""mint_amount"": 100000000, ""user_index"": 6, ""username"": ""if_staker""}"
init_if_stake,6,"{""market_index"": 0, ""user_index"": 6}"
deposit_collateral,7,"{""deposit_amount"": 0, ""mint_amount"": 100000000, ""user_index"": 7, ""username"": ""if_staker""}"
init_if_stake,7,"{""market_index"": 0, ""user_index"": 7}"
deposit_collateral,8,"{""deposit_amount"": 0, ""mint_amount"": 100000000, ""user_index"": 8, ""username"": ""if_staker""}"
init_if_stake,8,"{""market_index"": 0, ""user_index"": 8}"
deposit_collateral,9,"{""deposit_amount"": 0, ""mint_amount"": 100000000, ""user_index"": 9, ""username"": ""if_staker""}"
init_if_stake,9,"{""market_index"": 0, ""user_index"": 9}"
deposit_collateral,10,"{""deposit_amount"": 100000000, ""mint_amount"": 0, ""user_index"": 10, ""username"": ""openclose""}"
deposit_collateral,11,"{""deposit_amount"": 100000000, ""mint_amount"": 0, ""user_index"": 11, ""username"": ""openclose""}"
deposit_collateral,12,"{""deposit_amount"": 100000000, ""mint_amount"": 0, ""user_index"": 12, ""username"": ""openclose""}"
deposit_collateral,13,"{""deposit_amount"": 100000000, ""mint_amount"": 0, ""user_index"": 13, ""username"": ""openclose""}"
deposit_collateral,14,"{""deposit_amount"": 100000000, ""mint_amount"": 0, ""user_index"": 14, ""username"": ""openclose""}"
deposit_collateral,15,"{""deposit_amount"": 100000000, ""mint_amount"": 0, ""user_index"": 15, ""username"": ""openclose""}"
deposit_collateral,16,"{""deposit_amount"": 100000000, ""mint_amount"": 0, ""user_index"": 16, ""username"": ""openclose""}"
deposit_collateral,17,"{""deposit_amount"": 100000000, ""mint_amount"": 0, ""user_index"": 17, ""username"": ""openclose""}"
deposit_collateral,18,"{""deposit_amount"": 100000000, ""mint_amount"": 0, ""user_index"": 18, ""username"": ""openclose""}"
deposit_collateral,19,"{""deposit_amount"": 100000000, ""mint_amount"": 0, ""user_index"": 19, ""username"": ""openclose""}"
deposit_collateral,40,"{""deposit_amount"": 0, ""mint_amount"": 100000000, ""user_index"": 20, ""username"": ""if_staker""}"
init_if_stake,40,"{""market_index"": 0, ""user_index"": 20}"
deposit_collateral,41,"{""deposit_amount"": 0, ""mint_amount"": 100000000, ""user_index"": 21, ""username"": ""if_staker""}"
init_if_stake,41,"{""market_index"": 0, ""user_index"": 21}"
deposit_collateral,42,"{""deposit_amount"": 0, ""mint_amount"": 100000000, ""user_index"": 22, ""username"": ""if_staker""}"
init_if_stake,42,"{""market_index"": 0, ""user_index"": 22}"
deposit_collateral,43,"{""deposit_amount"": 0, ""mint_amount"": 100000000, ""user_index"": 23, ""username"": ""if_staker""}"
init_if_stake,43,"{""market_index"": 0, ""user_index"": 23}"
deposit_collateral,44,"{""deposit_amount"": 0, ""mint_amount"": 100000000, ""user_index"": 24, ""username"": ""if_staker""}"
init_if_stake,44,"{""market_index"": 0, ""user_index"": 24}"
deposit_collateral,45,"{""deposit_amount"": 0, ""mint_amount"": 100000000, ""user_index"": 25, ""username"": ""if_staker""}"
init_if_stake,45,"{""market_index"": 0, ""user_index"": 25}"
deposit_collateral,46,"{""deposit_amount"": 0, ""mint_amount"": 100000000, ""user_index"": 26, ""username"": ""if_staker""}"
init_if_stake,46,"{""market_index"": 0, ""user_index"": 26}"
deposit_collateral,47,"{""deposit_amount"": 0, ""mint_amount"": 100000000, ""user_index"": 27, ""username"": ""if_staker""}"
