event_name,timestamp,parameters
deposit_collateral,0,"{""deposit_amount"": 197356266, ""mint_amount"": 0, ""user_index"": 0, ""username"": ""multiple-openclose""}"
deposit_collateral,1,"{""deposit_amount"": 251341227, ""mint_amount"": 0, ""user_index"": 0, ""username"": ""multiple-openclose""}"
deposit_collateral,4,"{""deposit_amount"": 275554649, ""mint_amount"": 0, ""user_index"": 1, ""username"": ""multiple-openclose""}"
deposit_collateral,5,"{""deposit_amount"": 177875694, ""mint_amount"": 0, ""user_index"": 1, ""username"": ""multiple-openclose""}"
deposit_collateral,8,"{""deposit_amount"": 215472684, ""mint_amount"": 0, ""user_index"": 2, ""username"": ""multiple-openclose""}"
deposit_collateral,9,"{""deposit_amount"": 160254358, ""mint_amount"": 0, ""user_index"": 2, ""username"": ""multiple-openclose""}"
deposit_collateral,12,"{""deposit_amount"": 185416252, ""mint_amount"": 0, ""user_index"": 3, ""username"": ""multiple-openclose""}"
deposit_collateral,13,"{""deposit_amount"": 199468412, ""mint_amount"": 0, ""user_index"": 3, ""username"": ""multiple-openclose""}"
deposit_collateral,16,"{""deposit_amount"": 139829045, ""mint_amount"": 0, ""user_index"": 4, ""username"": ""multiple-openclose""}"
deposit_collateral,17,"{""deposit_amount"": 249215354, ""mint_amount"": 0, ""user_index"": 4, ""username"": ""multiple-openclose""}"
deposit_collateral,20,"{""deposit_amount"": 199153641, ""mint_amount"": 0, ""user_index"": 5, ""username"": ""multiple-openclose""}"
deposit_collateral,21,"{""deposit_amount"": 197801347, ""mint_amount"": 0, ""user_index"": 5, ""username"": ""multiple-openclose""}"
deposit_collateral,24,"{""deposit_amount"": 157839129, ""mint_amount"": 0, ""user_index"": 6, ""username"": ""multiple-openclose""}"
deposit_collateral,25,"{""deposit_amount"": 273103809, ""mint_amount"": 0, ""user_index"": 6, ""username"": ""multiple-openclose""}"
deposit_collateral,28,"{""deposit_amount"": 71408356, ""mint_amount"": 0, ""user_index"": 7, ""username"": ""multiple-openclose""}"
deposit_collateral,29,"{""deposit_amount"": 168747892, ""mint_amount"": 0, ""user_index"": 7, ""username"": ""multiple-openclose""}"
deposit_collateral,32,"{""deposit_amount"": 182093888, ""mint_amount"": 0, ""user_index"": 8, ""username"": ""multiple-openclose""}"
deposit_collateral,33,"{""deposit_amount"": 306941501, ""mint_amount"": 0, ""user_index"": 8, ""username"": ""multiple-openclose""}"
deposit_collateral,36,"{""deposit_amount"": 242873038, ""mint_amount"": 0, ""user_index"": 9, ""username"": ""multiple-openclose""}"
deposit_collateral,37,"{""deposit_amount"": 258895339, ""mint_amount"": 0, ""user_index"": 9, ""username"": ""multiple-openclose""}"
deposit_collateral,40,"{""deposit_amount"": 40000000000000, ""mint_amount"": 0, ""user_index"": 10, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,42,"{""deposit_amount"": 40000000000000, ""mint_amount"": 0, ""user_index"": 10, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,46,"{""deposit_amount"": 40000000000000, ""mint_amount"": 0, ""user_index"": 11, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,48,"{""deposit_amount"": 40000000000000, ""mint_amount"": 0, ""user_index"": 11, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,52,"{""deposit_amount"": 40000000000000, ""mint_amount"": 0, ""user_index"": 12, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,54,"{""deposit_amount"": 40000000000000, ""mint_amount"": 0, ""user_index"": 12, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,58,"{""deposit_amount"": 40000000000000, ""mint_amount"": 0, ""user_index"": 13, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,60,"{""deposit_amount"": 40000000000000, ""mint_amount"": 0, ""user_index"": 13, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,64,"{""deposit_amount"": 40000000000000, ""mint_amount"": 0, ""user_index"": 14, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,66,"{""deposit_amount"": 40000000000000, ""mint_amount"": 0, ""user_index"": 14, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,70,"{""deposit_amount"": 40000000000000, ""mint_amount"": 0, ""user_index"": 15, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,72,"{""deposit_amount"": 40000000000000, ""mint_amount"": 0, ""user_index"": 15, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,76,"{""deposit_amount"": 40000000000000, ""mint_amount"": 0, ""user_index"": 16, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,78,"{""deposit_amount"": 40000000000000, ""mint_amount"": 0, ""user_index"": 16, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,82,"{""deposit_amount"": 40000000000000, ""mint_amount"": 0, ""user_index"": 17, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,84,"{""deposit_amount"": 40000000000000, ""mint_amount"": 0, ""user_index"": 17, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,88,"{""deposit_amount"": 40000000000000, ""mint_amount"": 0, ""user_index"": 18, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,90,"{""deposit_amount"": 40000000000000, ""mint_amount"": 0, ""user_index"": 18, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,94,"{""deposit_amount"": 40000000000000, ""mint_amount"": 0, ""user_index"": 19, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,96,"{""deposit_amount"": 40000000000000, ""mint_amount"": 0, ""user_index"": 19, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,100,"{""deposit_amount"": 0, ""mint_amount"": 47303074, ""user_index"": 20, ""username"": ""if_staker""}"
init_if_stake,100,"{""market_index"": 1, ""user_index"": 20}"
deposit_collateral,101,"{""deposit_amount"": 0, ""mint_amount"": 7606810, ""user_index"": 21, ""username"": ""if_staker""}"
init_if_stake,101,"{""market_index"": 1, ""user_index"": 21}"
deposit_collateral,102,"{""deposit_amount"": 0, ""mint_amount"": 58658219, ""user_index"": 22, ""username"": ""if_staker""}"
init_if_stake,102,"{""market_index"": 1, ""user_index"": 22}"
deposit_collateral,103,"{""deposit_amount"": 0, ""mint_amount"": 78670239, ""user_index"": 23, ""username"": ""if_staker""}"
init_if_stake,103,"{""market_index"": 1, ""user_index"": 23}"
deposit_collateral,104,"{""deposit_amount"": 0, ""mint_amount"": 40867293, ""user_index"": 24, ""username"": ""if_staker""}"
init_if_stake,104,"{""market_index"": 1, ""user_index"": 24}"
deposit_collateral,105,"{""deposit_amount"": 0, ""mint_amount"": 23834294, ""user_index"": 25, ""username"": ""if_staker""}"
init_if_stake,105,"{""market_index"": 1, ""user_index"": 25}"
deposit_collateral,106,"{""deposit_amount"": 0, ""mint_amount"": 46708891, ""user_index"": 26, ""username"": ""if_staker""}"
init_if_stake,106,"{""market_index"": 1, ""user_index"": 26}"
deposit_collateral,107,"{""deposit_amount"": 0, ""mint_amount"": 36976693, ""user_index"": 27, ""username"": ""if_staker""}"
init_if_stake,107,"{""market_index"": 1, ""user_index"": 27}"
deposit_collateral,108,"{""deposit_amount"": 0, ""mint_amount"": 63107848, ""user_index"": 28, ""username"": ""if_staker""}"
init_if_stake,108,"{""market_index"": 1, ""user_index"": 28}"
deposit_collateral,109,"{""deposit_amount"": 0, ""mint_amount"": 96577552, ""user_index"": 29, ""username"": ""if_staker""}"
init_if_stake,109,"{""market_index"": 1, ""user_index"": 29}"
oracle_price,1341,"{""conf"": 0, ""market_index"": 0, ""price"": 0.0656552529742411, ""slot"": 0}"
oracle_price,1341,"{""conf"": 0, ""market_index"": 0, ""price"": 63.43769667, ""slot"": 0}"
open_position,1341,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 26840706, ""user_index"": 4}"
oracle_price,1935,"{""conf"": 0, ""market_index"": 0, ""price"": 1.833724008712601, ""slot"": 0}"
oracle_price,1935,"{""conf"": 0, ""market_index"": 0, ""price"": 63.13938544, ""slot"": 0}"
open_position,1935,"{""direction"": ""short"", ""market_index"": 1, ""quote_amount"": 60038344, ""user_index"": 5}"
oracle_price,2815,"{""conf"": 0, ""market_index"": 0, ""price"": 2.0456890543394484, ""slot"": 0}"
oracle_price,2815,"{""conf"": 0, ""market_index"": 0, ""price"": 62.94955646, ""slot"": 0}"
open_position,2815,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 36100687, ""user_index"": 9}"
oracle_price,2969,"{""conf"": 0, ""market_index"": 0, ""price"": 1.8880281432143784, ""slot"": 0}"
oracle_price,2969,"{""conf"": 0, ""market_index"": 0, ""price"": 62.83001331, ""slot"": 0}"
open_position,2969,"{""direction"": ""short"", ""market_index"": 1, ""quote_amount"": 43827269, ""user_index"": 8}"
oracle_price,3231,"{""conf"": 0, ""market_index"": 0, ""price"": 2.358965995465239, ""slot"": 0}"
oracle_price,3231,"{""conf"": 0, ""market_index"": 0, ""price"": 62.8169, ""slot"": 0}"
close_position,3231,"{""market_index"": 0, ""user_index"": 4}"
oracle_price,3298,"{""conf"": 0, ""market_index"": 0, ""price"": 2.49954834970424, ""slot"": 0}"
oracle_price,3298,"{""conf"": 0, ""market_index"": 0, ""price"": 62.78905, ""slot"": 0}"
add_liquidity,3298,"{""market_index"": 0, ""token_amount"": 48013233096, ""user_index"": 17}"
oracle_price,3503,"{""conf"": 0, ""market_index"": 0, ""price"": 2.938115931332272, ""slot"": 0}"
oracle_price,3503,"{""conf"": 0, ""market_index"": 0, ""price"": 63.12945, ""slot"": 0}"
open_position,3503,"{""direction"": ""short"", ""market_index"": 1, ""quote_amount"": 86651331, ""user_index"": 8}"
oracle_price,3786,"{""conf"": 0, ""market_index"": 0, ""price"": 3.049063531360271, ""slot"": 0}"
oracle_price,3786,"{""conf"": 0, ""market_index"": 0, ""price"": 63.06441566, ""slot"": 0}"
settle_lp,3786,"{""market_index"": 0, ""user_index"": 17}"
oracle_price,4455,"{""conf"": 0, ""market_index"": 0, ""price"": 3.255918053627367, ""slot"": 0}"
oracle_price,4455,"{""conf"": 0, ""market_index"": 0, ""price"": 62.68914029, ""slot"": 0}"
open_position,4455,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 67804898, ""user_index"": 1}"
oracle_price,5921,"{""conf"": 0, ""market_index"": 0, ""price"": 5.072986878525792, ""slot"": 0}"
oracle_price,5921,"{""conf"": 0, ""market_index"": 0, ""price"": 62.2481, ""slot"": 0}"
add_liquidity,5921,"{""market_index"": 1, ""token_amount"": 2125790476, ""user_index"": 11}"
oracle_price,7152,"{""conf"": 0, ""market_index"": 0, ""price"": 9.124139613573432, ""slot"": 0}"
