event_name,timestamp,parameters
deposit_collateral,0,"{""deposit_amount"": 957132707, ""user_index"": 0, ""username"": ""multiple-openclose""}"
deposit_collateral,1,"{""deposit_amount"": 1077596718, ""user_index"": 1, ""username"": ""multiple-openclose""}"
deposit_collateral,2,"{""deposit_amount"": 1113482298, ""user_index"": 2, ""username"": ""multiple-openclose""}"
deposit_collateral,3,"{""deposit_amount"": 963874139, ""user_index"": 3, ""username"": ""multiple-openclose""}"
deposit_collateral,4,"{""deposit_amount"": 887719796, ""user_index"": 4, ""username"": ""multiple-openclose""}"
deposit_collateral,5,"{""deposit_amount"": 200000000000000, ""user_index"": 5, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,6,"{""deposit_amount"": 200000000000000, ""user_index"": 6, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,7,"{""deposit_amount"": 200000000000000, ""user_index"": 7, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,8,"{""deposit_amount"": 200000000000000, ""user_index"": 8, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,9,"{""deposit_amount"": 200000000000000, ""user_index"": 9, ""username"": ""multiple-liquidity-provider""}"
oracle_price,2685,"{""conf"": 0, ""market_index"": 0, ""price"": 62.85716, ""slot"": 0}"
add_liquidity,2685,"{""market_index"": 0, ""token_amount"": 69264990542, ""user_index"": 9}"
oracle_price,3035,"{""conf"": 0, ""market_index"": 0, ""price"": 62.7184093, ""slot"": 0}"
add_liquidity,3035,"{""market_index"": 0, ""token_amount"": 70920265264, ""user_index"": 5}"
oracle_price,3156,"{""conf"": 0, ""market_index"": 0, ""price"": 62.86522444, ""slot"": 0}"
add_liquidity,3156,"{""market_index"": 0, ""token_amount"": 51991978450, ""user_index"": 5}"
oracle_price,3513,"{""conf"": 0, ""market_index"": 0, ""price"": 63.12945, ""slot"": 0}"
open_position,3513,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 23113639, ""user_index"": 1}"
oracle_price,5759,"{""conf"": 0, ""market_index"": 0, ""price"": 62.35498189, ""slot"": 0}"
open_position,5759,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 32396574, ""user_index"": 3}"
oracle_price,5835,"{""conf"": 0, ""market_index"": 0, ""price"": 62.11413172, ""slot"": 0}"
open_position,5835,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 73560012, ""user_index"": 4}"
oracle_price,6578,"{""conf"": 0, ""market_index"": 0, ""price"": 61.66442598, ""slot"": 0}"
add_liquidity,6578,"{""market_index"": 0, ""token_amount"": 59511279735, ""user_index"": 8}"
oracle_price,9928,"{""conf"": 0, ""market_index"": 0, ""price"": 61.91533093, ""slot"": 0}"
add_liquidity,9928,"{""market_index"": 0, ""token_amount"": 30472137429, ""user_index"": 7}"
oracle_price,10588,"{""conf"": 0, ""market_index"": 0, ""price"": 62.0593, ""slot"": 0}"
open_position,10588,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 79461051, ""user_index"": 3}"
oracle_price,15827,"{""conf"": 0, ""market_index"": 0, ""price"": 60.38345942, ""slot"": 0}"
open_position,15827,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 34419421, ""user_index"": 1}"
oracle_price,18795,"{""conf"": 0, ""market_index"": 0, ""price"": 61.58941095, ""slot"": 0}"
add_liquidity,18795,"{""market_index"": 0, ""token_amount"": 25939118261, ""user_index"": 6}"
oracle_price,20334,"{""conf"": 0, ""market_index"": 0, ""price"": 61.2747, ""slot"": 0}"
