event_name,timestamp,parameters
deposit_collateral,0,"{""deposit_amount"": 201238903, ""user_index"": 0, ""username"": ""multiple-openclose""}"
deposit_collateral,2,"{""deposit_amount"": 166922407, ""user_index"": 1, ""username"": ""multiple-openclose""}"
deposit_collateral,4,"{""deposit_amount"": 158782435, ""user_index"": 2, ""username"": ""multiple-openclose""}"
deposit_collateral,6,"{""deposit_amount"": 29810454, ""user_index"": 3, ""username"": ""multiple-openclose""}"
deposit_collateral,8,"{""deposit_amount"": 178297972, ""user_index"": 4, ""username"": ""multiple-openclose""}"
deposit_collateral,10,"{""deposit_amount"": 30000000000000, ""user_index"": 5, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,13,"{""deposit_amount"": 30000000000000, ""user_index"": 6, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,16,"{""deposit_amount"": 30000000000000, ""user_index"": 7, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,19,"{""deposit_amount"": 30000000000000, ""user_index"": 8, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,22,"{""deposit_amount"": 30000000000000, ""user_index"": 9, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,25,"{""deposit_amount"": 194891259, ""user_index"": 0, ""username"": ""multiple-openclose""}"
deposit_collateral,27,"{""deposit_amount"": 165581760, ""user_index"": 1, ""username"": ""multiple-openclose""}"
deposit_collateral,29,"{""deposit_amount"": 185620716, ""user_index"": 2, ""username"": ""multiple-openclose""}"
deposit_collateral,31,"{""deposit_amount"": 173581595, ""user_index"": 3, ""username"": ""multiple-openclose""}"
deposit_collateral,33,"{""deposit_amount"": 112511431, ""user_index"": 4, ""username"": ""multiple-openclose""}"
deposit_collateral,35,"{""deposit_amount"": 30000000000000, ""user_index"": 5, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,38,"{""deposit_amount"": 30000000000000, ""user_index"": 6, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,41,"{""deposit_amount"": 30000000000000, ""user_index"": 7, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,44,"{""deposit_amount"": 30000000000000, ""user_index"": 8, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,47,"{""deposit_amount"": 30000000000000, ""user_index"": 9, ""username"": ""multiple-liquidity-provider""}"
oracle_price,50,"{""conf"": 0, ""market_index"": 0, ""price"": 1.7002826076361544, ""slot"": 0}"
oracle_price,50,"{""conf"": 0, ""market_index"": 1, ""price"": 17.632389174110426, ""slot"": 0}"
open_position,50,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 132998, ""user_index"": 3}"
open_position,50,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 55229829, ""user_index"": 4}"
settle_pnl,50,"{""market_index"": 0, ""user_index"": 6}"
add_liquidity,50,"{""market_index"": 0, ""token_amount"": 34047300725, ""user_index"": 8}"
open_position,50,"{""direction"": ""short"", ""market_index"": 1, ""quote_amount"": 62674776, ""user_index"": 0}"
open_position,50,"{""direction"": ""long"", ""market_index"": 1, ""quote_amount"": 84629806, ""user_index"": 1}"
oracle_price,52,"{""conf"": 0, ""market_index"": 0, ""price"": 1.4338800662117563, ""slot"": 0}"
oracle_price,52,"{""conf"": 0, ""market_index"": 1, ""price"": 17.544772798873954, ""slot"": 0}"
settle_pnl,52,"{""market_index"": 0, ""user_index"": 6}"
oracle_price,54,"{""conf"": 0, ""market_index"": 0, ""price"": 1.8315414931658296, ""slot"": 0}"
oracle_price,54,"{""conf"": 0, ""market_index"": 1, ""price"": 17.544772798873954, ""slot"": 0}"
settle_pnl,54,"{""market_index"": 0, ""user_index"": 6}"
oracle_price,55,"{""conf"": 0, ""market_index"": 0, ""price"": 1.8315414931658296, ""slot"": 0}"
oracle_price,55,"{""conf"": 0, ""market_index"": 1, ""price"": 17.58031299706045, ""slot"": 0}"
close_position,55,"{""market_index"": 1, ""user_index"": 0}"
oracle_price,56,"{""conf"": 0, ""market_index"": 0, ""price"": 1.8315414931658296, ""slot"": 0}"
oracle_price,56,"{""conf"": 0, ""market_index"": 1, ""price"": 17.58031299706045, ""slot"": 0}"
settle_pnl,56,"{""market_index"": 0, ""user_index"": 6}"
oracle_price,58,"{""conf"": 0, ""market_index"": 0, ""price"": 1.8315414931658296, ""slot"": 0}"
oracle_price,58,"{""conf"": 0, ""market_index"": 1, ""price"": 17.58031299706045, ""slot"": 0}"
settle_pnl,58,"{""market_index"": 0, ""user_index"": 6}"
oracle_price,60,"{""conf"": 0, ""market_index"": 0, ""price"": 1.8315414931658296, ""slot"": 0}"
oracle_price,60,"{""conf"": 0, ""market_index"": 1, ""price"": 17.58031299706045, ""slot"": 0}"
settle_pnl,60,"{""market_index"": 0, ""user_index"": 1}"
settle_pnl,60,"{""market_index"": 0, ""user_index"": 6}"
settle_pnl,60,"{""market_index"": 1, ""user_index"": 4}"
oracle_price,62,"{""conf"": 0, ""market_index"": 0, ""price"": 1.6872338655337131, ""slot"": 0}"
