event_name,timestamp,parameters
deposit_collateral,0,"{""deposit_amount"": 20976498, ""mint_amount"": 0, ""user_index"": 0, ""username"": ""multiple-openclose""}"
deposit_collateral,2,"{""deposit_amount"": 10000000000000, ""mint_amount"": 0, ""user_index"": 1, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,5,"{""deposit_amount"": 13465335, ""mint_amount"": 0, ""user_index"": 0, ""username"": ""multiple-openclose""}"
deposit_collateral,7,"{""deposit_amount"": 10000000000000, ""mint_amount"": 0, ""user_index"": 1, ""username"": ""multiple-liquidity-provider""}"
oracle_price,10,"{""conf"": 0, ""market_index"": 0, ""price"": 6.847828350066592, ""slot"": 0}"
oracle_price,10,"{""conf"": 0, ""market_index"": 1, ""price"": 1.65982867148319, ""slot"": 0}"
open_position,10,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 20976498, ""user_index"": 0}"
settle_pnl,12,"{""market_index"": 0, ""user_index"": 0}"
oracle_price,19,"{""conf"": 0, ""market_index"": 0, ""price"": 9.743906093172683, ""slot"": 0}"
oracle_price,19,"{""conf"": 0, ""market_index"": 1, ""price"": 2.4834755666593225, ""slot"": 0}"
add_liquidity,19,"{""market_index"": 1, ""token_amount"": 23557063302, ""user_index"": 1}"
oracle_price,24,"{""conf"": 0, ""market_index"": 0, ""price"": 10.757575845945212, ""slot"": 0}"
oracle_price,24,"{""conf"": 0, ""market_index"": 1, ""price"": 2.354685011096123, ""slot"": 0}"
settle_pnl,24,"{""market_index"": 0, ""user_index"": 0}"
oracle_price,34,"{""conf"": 0, ""market_index"": 0, ""price"": 8.291759517660992, ""slot"": 0}"
oracle_price,34,"{""conf"": 0, ""market_index"": 1, ""price"": 2.59639703638328, ""slot"": 0}"
settle_lp,34,"{""market_index"": 1, ""user_index"": 1}"
settle_pnl,36,"{""market_index"": 0, ""user_index"": 0}"
oracle_price,39,"{""conf"": 0, ""market_index"": 1, ""price"": 3.424468485462981, ""slot"": 0}"
add_liquidity,39,"{""market_index"": 0, ""token_amount"": 35937355021, ""user_index"": 1}"
oracle_price,40,"{""conf"": 0, ""market_index"": 0, ""price"": 7.70837203612669, ""slot"": 0}"
settle_lp,40,"{""market_index"": 0, ""user_index"": 1}"
oracle_price,48,"{""conf"": 0, ""market_index"": 0, ""price"": 6.730692492701152, ""slot"": 0}"
oracle_price,48,"{""conf"": 0, ""market_index"": 1, ""price"": 3.642229242312247, ""slot"": 0}"
settle_pnl,48,"{""market_index"": 0, ""user_index"": 0}"
settle_lp,48,"{""market_index"": 0, ""user_index"": 1}"
oracle_price,53,"{""conf"": 0, ""market_index"": 0, ""price"": 3.871100609844362, ""slot"": 0}"
oracle_price,53,"{""conf"": 0, ""market_index"": 1, ""price"": 4.049405712337872, ""slot"": 0}"
close_position,53,"{""market_index"": 0, ""user_index"": 0}"
oracle_price,56,"{""conf"": 0, ""market_index"": 0, ""price"": 3.273305920222583, ""slot"": 0}"
oracle_price,56,"{""conf"": 0, ""market_index"": 1, ""price"": 4.256168598918556, ""slot"": 0}"
settle_lp,56,"{""market_index"": 0, ""user_index"": 1}"
remove_liquidity,57,"{""lp_token_amount"": 35937355021, ""market_index"": 0, ""user_index"": 1}"
oracle_price,64,"{""conf"": 0, ""market_index"": 0, ""price"": 2.3101060126955986, ""slot"": 0}"
oracle_price,64,"{""conf"": 0, ""market_index"": 1, ""price"": 4.0713433907284795, ""slot"": 0}"
remove_liquidity,64,"{""lp_token_amount"": 23557063302, ""market_index"": 1, ""user_index"": 1}"
oracle_price,66,"{""conf"": 0, ""market_index"": 0, ""price"": 2.4964035245298106, ""slot"": 0}"
settle_pnl,66,"{""market_index"": 0, ""user_index"": 1}"
open_position,67,"{""direction"": ""long"", ""market_index"": 1, ""quote_amount"": 13465335, ""user_index"": 0}"
oracle_price,72,"{""conf"": 0, ""market_index"": 0, ""price"": 3.1840658701713096, ""slot"": 0}"
oracle_price,72,"{""conf"": 0, ""market_index"": 1, ""price"": 4.430003738312195, ""slot"": 0}"
settle_pnl,72,"{""market_index"": 1, ""user_index"": 0}"
oracle_price,77,"{""conf"": 0, ""market_index"": 0, ""price"": 2.269016608147979, ""slot"": 0}"
oracle_price,77,"{""conf"": 0, ""market_index"": 1, ""price"": 4.790747976468587, ""slot"": 0}"
settle_pnl,77,"{""market_index"": 0, ""user_index"": 1}"
oracle_price,81,"{""conf"": 0, ""market_index"": 0, ""price"": 1.0, ""slot"": 0}"
oracle_price,81,"{""conf"": 0, ""market_index"": 1, ""price"": 4.824916563251087, ""slot"": 0}"
settle_pnl,81,"{""market_index"": 1, ""user_index"": 0}"
close_position,84,"{""market_index"": 0, ""user_index"": 1}"
close_position,85,"{""market_index"": 1, ""user_index"": 0}"
