event_name,timestamp,parameters
deposit_collateral,0,"{""deposit_amount"": 12820512820.512821, ""mint_amount"": 0, ""spot_market_index"": 0, ""user_index"": 0, ""username"": ""u""}"
open_position,0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 125000000000.0, ""user_index"": 0}"
deposit_collateral,0,"{""deposit_amount"": 100000000000.0, ""mint_amount"": 0, ""spot_market_index"": 0, ""user_index"": 10, ""username"": ""u""}"
open_position,0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 100000000000.0, ""user_index"": 10}"
deposit_collateral,1,"{""deposit_amount"": 12820512820.512821, ""mint_amount"": 0, ""spot_market_index"": 0, ""user_index"": 1, ""username"": ""u""}"
open_position,1,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 125000000000.0, ""user_index"": 1}"
deposit_collateral,1,"{""deposit_amount"": 100000000000.0, ""mint_amount"": 0, ""spot_market_index"": 0, ""user_index"": 11, ""username"": ""u""}"
open_position,1,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 100000000000.0, ""user_index"": 11}"
deposit_collateral,1,"{""deposit_amount"": 12820512820.512821, ""mint_amount"": 0, ""spot_market_index"": 0, ""user_index"": 2, ""username"": ""u""}"
open_position,1,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 125000000000.0, ""user_index"": 2}"
deposit_collateral,1,"{""deposit_amount"": 100000000000.0, ""mint_amount"": 0, ""spot_market_index"": 0, ""user_index"": 12, ""username"": ""u""}"
open_position,1,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 100000000000.0, ""user_index"": 12}"
deposit_collateral,2,"{""deposit_amount"": 12820512820.512821, ""mint_amount"": 0, ""spot_market_index"": 0, ""user_index"": 3, ""username"": ""u""}"
open_position,2,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 125000000000.0, ""user_index"": 3}"
deposit_collateral,2,"{""deposit_amount"": 100000000000.0, ""mint_amount"": 0, ""spot_market_index"": 0, ""user_index"": 13, ""username"": ""u""}"
open_position,2,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 100000000000.0, ""user_index"": 13}"
deposit_collateral,2,"{""deposit_amount"": 12820512820.512821, ""mint_amount"": 0, ""spot_market_index"": 0, ""user_index"": 4, ""username"": ""u""}"
open_position,2,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 125000000000.0, ""user_index"": 4}"
deposit_collateral,2,"{""deposit_amount"": 100000000000.0, ""mint_amount"": 0, ""spot_market_index"": 0, ""user_index"": 14, ""username"": ""u""}"
open_position,2,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 100000000000.0, ""user_index"": 14}"
deposit_collateral,3,"{""deposit_amount"": 12820512820.512821, ""mint_amount"": 0, ""spot_market_index"": 0, ""user_index"": 5, ""username"": ""u""}"
open_position,3,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 125000000000.0, ""user_index"": 5}"
deposit_collateral,3,"{""deposit_amount"": 100000000000.0, ""mint_amount"": 0, ""spot_market_index"": 0, ""user_index"": 15, ""username"": ""u""}"
open_position,3,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 100000000000.0, ""user_index"": 15}"
deposit_collateral,3,"{""deposit_amount"": 12820512820.512821, ""mint_amount"": 0, ""spot_market_index"": 0, ""user_index"": 6, ""username"": ""u""}"
open_position,3,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 125000000000.0, ""user_index"": 6}"
deposit_collateral,3,"{""deposit_amount"": 100000000000.0, ""mint_amount"": 0, ""spot_market_index"": 0, ""user_index"": 16, ""username"": ""u""}"
open_position,3,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 100000000000.0, ""user_index"": 16}"
deposit_collateral,4,"{""deposit_amount"": 12820512820.512821, ""mint_amount"": 0, ""spot_market_index"": 0, ""user_index"": 7, ""username"": ""u""}"
open_position,4,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 125000000000.0, ""user_index"": 7}"
deposit_collateral,4,"{""deposit_amount"": 100000000000.0, ""mint_amount"": 0, ""spot_market_index"": 0, ""user_index"": 17, ""username"": ""u""}"
open_position,4,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 100000000000.0, ""user_index"": 17}"
deposit_collateral,4,"{""deposit_amount"": 12820512820.512821, ""mint_amount"": 0, ""spot_market_index"": 0, ""user_index"": 8, ""username"": ""u""}"
open_position,4,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 125000000000.0, ""user_index"": 8}"
deposit_collateral,4,"{""deposit_amount"": 100000000000.0, ""mint_amount"": 0, ""spot_market_index"": 0, ""user_index"": 18, ""username"": ""u""}"
open_position,4,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 100000000000.0, ""user_index"": 18}"
deposit_collateral,5,"{""deposit_amount"": 12820512820.512821, ""mint_amount"": 0, ""spot_market_index"": 0, ""user_index"": 9, ""username"": ""u""}"
open_position,5,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 125000000000.0, ""user_index"": 9}"
deposit_collateral,5,"{""deposit_amount"": 100000000000.0, ""mint_amount"": 0, ""spot_market_index"": 0, ""user_index"": 19, ""username"": ""u""}"
open_position,5,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 100000000000.0, ""user_index"": 19}"
close_position,8,"{""market_index"": 0, ""user_index"": 10}"
withdraw_collateral,8,"{""reduce_only"": true, ""spot_market_index"": 0, ""user_index"": 10, ""username"": ""u"", ""withdraw_amount"": 99301262201.54549}"
close_position,8,"{""market_index"": 0, ""user_index"": 11}"
withdraw_collateral,8,"{""reduce_only"": true, ""spot_market_index"": 0, ""user_index"": 11, ""username"": ""u"", ""withdraw_amount"": 99136213593.53233}"
close_position,8,"{""market_index"": 0, ""user_index"": 12}"
withdraw_collateral,8,"{""reduce_only"": true, ""spot_market_index"": 0, ""user_index"": 12, ""username"": ""u"", ""withdraw_amount"": 98971575721.43959}"
close_position,8,"{""market_index"": 0, ""user_index"": 13}"
withdraw_collateral,8,"{""reduce_only"": true, ""spot_market_index"": 0, ""user_index"": 13, ""username"": ""u"", ""withdraw_amount"": 98807347223.54665}"
close_position,8,"{""market_index"": 0, ""user_index"": 14}"
withdraw_collateral,8,"{""reduce_only"": true, ""spot_market_index"": 0, ""user_index"": 14, ""username"": ""u"", ""withdraw_amount"": 98643526743.7409}"
close_position,8,"{""market_index"": 0, ""user_index"": 15}"
withdraw_collateral,8,"{""reduce_only"": true, ""spot_market_index"": 0, ""user_index"": 15, ""username"": ""u"", ""withdraw_amount"": 98480112931.54048}"
close_position,8,"{""market_index"": 0, ""user_index"": 16}"
withdraw_collateral,8,"{""reduce_only"": true, ""spot_market_index"": 0, ""user_index"": 16, ""username"": ""u"", ""withdraw_amount"": 98317104442.04913}"
close_position,8,"{""market_index"": 0, ""user_index"": 17}"
withdraw_collateral,8,"{""reduce_only"": true, ""spot_market_index"": 0, ""user_index"": 17, ""username"": ""u"", ""withdraw_amount"": 98154499935.93378}"
close_position,8,"{""market_index"": 0, ""user_index"": 18}"
withdraw_collateral,8,"{""reduce_only"": true, ""spot_market_index"": 0, ""user_index"": 18, ""username"": ""u"", ""withdraw_amount"": 97992298079.36832}"
close_position,8,"{""market_index"": 0, ""user_index"": 19}"
withdraw_collateral,8,"{""reduce_only"": true, ""spot_market_index"": 0, ""user_index"": 19, ""username"": ""u"", ""withdraw_amount"": 97830497544.01117}"
deposit_collateral,8,"{""deposit_amount"": 100000000000, ""mint_amount"": 0, ""spot_market_index"": 0, ""user_index"": 0, ""username"": ""liquidator""}"
liquidate,9,"{""user_index"": 0}"
close_position,12,"{""market_index"": 0, ""user_index"": 0}"
close_position,13,"{""market_index"": 0, ""user_index"": 1}"
close_position,14,"{""market_index"": 0, ""user_index"": 2}"
close_position,15,"{""market_index"": 0, ""user_index"": 3}"
close_position,16,"{""market_index"": 0, ""user_index"": 4}"
close_position,17,"{""market_index"": 0, ""user_index"": 5}"
close_position,18,"{""market_index"": 0, ""user_index"": 6}"
close_position,19,"{""market_index"": 0, ""user_index"": 7}"
close_position,20,"{""market_index"": 0, ""user_index"": 8}"
close_position,21,"{""market_index"": 0, ""user_index"": 9}"
