event_name,timestamp,parameters
deposit_collateral,0,"{""deposit_amount"": 12235203, ""user_index"": 0, ""username"": ""multiple-openclose""}"
deposit_collateral,2,"{""deposit_amount"": 10000000000000, ""user_index"": 1, ""username"": ""multiple-liquidity-provider""}"
oracle_price,7,"{""conf"": 0, ""market_index"": 0, ""price"": 1.0502340745377978, ""slot"": 0}"
settle_pnl,7,"{""market_index"": 0, ""user_index"": 0}"
oracle_price,14,"{""conf"": 0, ""market_index"": 0, ""price"": 2.2346194862134183, ""slot"": 0}"
open_position,14,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 12235203, ""user_index"": 0}"
settle_pnl,14,"{""market_index"": 0, ""user_index"": 0}"
oracle_price,17,"{""conf"": 0, ""market_index"": 0, ""price"": 2.2346194862134183, ""slot"": 0}"
settle_pnl,17,"{""market_index"": 0, ""user_index"": 1}"
oracle_price,21,"{""conf"": 0, ""market_index"": 0, ""price"": 2.8691693288555626, ""slot"": 0}"
settle_pnl,21,"{""market_index"": 0, ""user_index"": 0}"
oracle_price,28,"{""conf"": 0, ""market_index"": 0, ""price"": 3.312134937233523, ""slot"": 0}"
settle_pnl,28,"{""market_index"": 0, ""user_index"": 0}"
oracle_price,34,"{""conf"": 0, ""market_index"": 0, ""price"": 3.3879803066354555, ""slot"": 0}"
settle_pnl,34,"{""market_index"": 0, ""user_index"": 1}"
oracle_price,35,"{""conf"": 0, ""market_index"": 0, ""price"": 3.3879803066354555, ""slot"": 0}"
settle_pnl,35,"{""market_index"": 0, ""user_index"": 0}"
oracle_price,42,"{""conf"": 0, ""market_index"": 0, ""price"": 3.3084100007730513, ""slot"": 0}"
settle_pnl,42,"{""market_index"": 0, ""user_index"": 0}"
oracle_price,49,"{""conf"": 0, ""market_index"": 0, ""price"": 3.0785334644970987, ""slot"": 0}"
settle_pnl,49,"{""market_index"": 0, ""user_index"": 0}"
oracle_price,51,"{""conf"": 0, ""market_index"": 0, ""price"": 3.0785334644970987, ""slot"": 0}"
settle_pnl,51,"{""market_index"": 0, ""user_index"": 1}"
oracle_price,56,"{""conf"": 0, ""market_index"": 0, ""price"": 3.3010786196110757, ""slot"": 0}"
settle_pnl,56,"{""market_index"": 0, ""user_index"": 0}"
oracle_price,63,"{""conf"": 0, ""market_index"": 0, ""price"": 3.341056703509693, ""slot"": 0}"
settle_pnl,63,"{""market_index"": 0, ""user_index"": 0}"
oracle_price,68,"{""conf"": 0, ""market_index"": 0, ""price"": 3.3000306972356555, ""slot"": 0}"
settle_pnl,68,"{""market_index"": 0, ""user_index"": 1}"
oracle_price,70,"{""conf"": 0, ""market_index"": 0, ""price"": 3.3000306972356555, ""slot"": 0}"
settle_pnl,70,"{""market_index"": 0, ""user_index"": 0}"
oracle_price,74,"{""conf"": 0, ""market_index"": 0, ""price"": 3.3000306972356555, ""slot"": 0}"
add_liquidity,74,"{""market_index"": 0, ""token_amount"": 26278853020, ""user_index"": 1}"
oracle_price,77,"{""conf"": 0, ""market_index"": 0, ""price"": 3.310563521626676, ""slot"": 0}"
settle_pnl,77,"{""market_index"": 0, ""user_index"": 0}"
oracle_price,80,"{""conf"": 0, ""market_index"": 0, ""price"": 3.352630005804315, ""slot"": 0}"
settle_lp,80,"{""market_index"": 0, ""user_index"": 1}"
oracle_price,84,"{""conf"": 0, ""market_index"": 0, ""price"": 4.061870339383816, ""slot"": 0}"
settle_pnl,84,"{""market_index"": 0, ""user_index"": 0}"
oracle_price,85,"{""conf"": 0, ""market_index"": 0, ""price"": 4.061870339383816, ""slot"": 0}"
settle_pnl,85,"{""market_index"": 0, ""user_index"": 1}"
oracle_price,86,"{""conf"": 0, ""market_index"": 0, ""price"": 4.061870339383816, ""slot"": 0}"
remove_liquidity,86,"{""lp_token_amount"": 26278853020, ""market_index"": 0, ""user_index"": 1}"
oracle_price,90,"{""conf"": 0, ""market_index"": 0, ""price"": 4.061870339383816, ""slot"": 0}"
close_position,90,"{""market_index"": 0, ""user_index"": 0}"
oracle_price,91,"{""conf"": 0, ""market_index"": 0, ""price"": 4.061870339383816, ""slot"": 0}"
settle_pnl,91,"{""market_index"": 0, ""user_index"": 0}"
