event_name,timestamp,parameters
deposit_collateral,0,"{""deposit_amount"": 63072786, ""user_index"": 0, ""username"": ""multiple-openclose""}"
deposit_collateral,2,"{""deposit_amount"": 115103260, ""user_index"": 1, ""username"": ""multiple-openclose""}"
deposit_collateral,4,"{""deposit_amount"": 161148038, ""user_index"": 2, ""username"": ""multiple-openclose""}"
deposit_collateral,6,"{""deposit_amount"": 20000000000000, ""user_index"": 3, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,9,"{""deposit_amount"": 20000000000000, ""user_index"": 4, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,12,"{""deposit_amount"": 20000000000000, ""user_index"": 5, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,15,"{""deposit_amount"": 74715126, ""user_index"": 0, ""username"": ""multiple-openclose""}"
deposit_collateral,17,"{""deposit_amount"": 90488104, ""user_index"": 1, ""username"": ""multiple-openclose""}"
deposit_collateral,19,"{""deposit_amount"": 66112265, ""user_index"": 2, ""username"": ""multiple-openclose""}"
deposit_collateral,21,"{""deposit_amount"": 20000000000000, ""user_index"": 3, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,24,"{""deposit_amount"": 20000000000000, ""user_index"": 4, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,27,"{""deposit_amount"": 20000000000000, ""user_index"": 5, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,30,"{""deposit_amount"": 55940629, ""user_index"": 0, ""username"": ""multiple-openclose""}"
deposit_collateral,32,"{""deposit_amount"": 155295676, ""user_index"": 1, ""username"": ""multiple-openclose""}"
deposit_collateral,34,"{""deposit_amount"": 158830891, ""user_index"": 2, ""username"": ""multiple-openclose""}"
deposit_collateral,36,"{""deposit_amount"": 20000000000000, ""user_index"": 3, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,39,"{""deposit_amount"": 20000000000000, ""user_index"": 4, ""username"": ""multiple-liquidity-provider""}"
deposit_collateral,42,"{""deposit_amount"": 20000000000000, ""user_index"": 5, ""username"": ""multiple-liquidity-provider""}"
oracle_price,45,"{""conf"": 0, ""market_index"": 0, ""price"": 5.7267254373811625, ""slot"": 0}"
oracle_price,45,"{""conf"": 0, ""market_index"": 1, ""price"": 2.5524045213739868, ""slot"": 0}"
oracle_price,45,"{""conf"": 0, ""market_index"": 2, ""price"": 3.3773408065467834, ""slot"": 0}"
open_position,45,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 56399663, ""user_index"": 1}"
open_position,45,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 74611911, ""user_index"": 2}"
add_liquidity,45,"{""market_index"": 0, ""token_amount"": 10654568362, ""user_index"": 3}"
add_liquidity,45,"{""market_index"": 0, ""token_amount"": 22228689157, ""user_index"": 5}"
open_position,45,"{""direction"": ""long"", ""market_index"": 1, ""quote_amount"": 18648350, ""user_index"": 1}"
open_position,45,"{""direction"": ""short"", ""market_index"": 1, ""quote_amount"": 47210273, ""user_index"": 2}"
add_liquidity,45,"{""market_index"": 1, ""token_amount"": 22867036513, ""user_index"": 4}"
add_liquidity,45,"{""market_index"": 1, ""token_amount"": 11176179642, ""user_index"": 5}"
add_liquidity,45,"{""market_index"": 1, ""token_amount"": 30875716377, ""user_index"": 5}"
open_position,45,"{""direction"": ""long"", ""market_index"": 2, ""quote_amount"": 45488493, ""user_index"": 0}"
open_position,45,"{""direction"": ""long"", ""market_index"": 2, ""quote_amount"": 77849194, ""user_index"": 1}"
open_position,45,"{""direction"": ""short"", ""market_index"": 2, ""quote_amount"": 91234280, ""user_index"": 2}"
open_position,45,"{""direction"": ""long"", ""market_index"": 2, ""quote_amount"": 67596611, ""user_index"": 2}"
add_liquidity,45,"{""market_index"": 2, ""token_amount"": 74490511255, ""user_index"": 3}"
add_liquidity,45,"{""market_index"": 2, ""token_amount"": 6647996973, ""user_index"": 5}"
add_liquidity,45,"{""market_index"": 2, ""token_amount"": 96957733729, ""user_index"": 5}"
oracle_price,46,"{""conf"": 0, ""market_index"": 1, ""price"": 2.4469086498812658, ""slot"": 0}"
settle_lp,46,"{""market_index"": 1, ""user_index"": 4}"
settle_lp,46,"{""market_index"": 1, ""user_index"": 5}"
remove_liquidity,46,"{""lp_token_amount"": 96957733729, ""market_index"": 2, ""user_index"": 5}"
