event_name,timestamp,parameters
deposit_collateral,0.0,"{""deposit_amount"": 10000000000000, ""user_index"": 0, ""username"": ""LP""}"
deposit_collateral,1.0,"{""deposit_amount"": 10000000000000, ""user_index"": 1, ""username"": ""LP""}"
deposit_collateral,2.0,"{""deposit_amount"": 10000000000000, ""user_index"": 2, ""username"": ""LP""}"
deposit_collateral,3.0,"{""deposit_amount"": 10000000000000, ""user_index"": 3, ""username"": ""LP""}"
deposit_collateral,4.0,"{""deposit_amount"": 10000000000000, ""user_index"": 4, ""username"": ""LP""}"
deposit_collateral,5.0,"{""deposit_amount"": 10000000000000, ""user_index"": 5, ""username"": ""LP""}"
deposit_collateral,6.0,"{""deposit_amount"": 10000000000000, ""user_index"": 6, ""username"": ""LP""}"
deposit_collateral,7.0,"{""deposit_amount"": 10000000000000, ""user_index"": 7, ""username"": ""LP""}"
deposit_collateral,8.0,"{""deposit_amount"": 10000000000000, ""user_index"": 8, ""username"": ""LP""}"
deposit_collateral,9.0,"{""deposit_amount"": 10000000000000, ""user_index"": 9, ""username"": ""LP""}"
deposit_collateral,10.0,"{""deposit_amount"": 10000000000000, ""user_index"": 0, ""username"": ""LP""}"
deposit_collateral,11.0,"{""deposit_amount"": 10000000000000, ""user_index"": 1, ""username"": ""LP""}"
deposit_collateral,12.0,"{""deposit_amount"": 10000000000000, ""user_index"": 2, ""username"": ""LP""}"
deposit_collateral,13.0,"{""deposit_amount"": 10000000000000, ""user_index"": 3, ""username"": ""LP""}"
deposit_collateral,14.0,"{""deposit_amount"": 10000000000000, ""user_index"": 4, ""username"": ""LP""}"
deposit_collateral,15.0,"{""deposit_amount"": 10000000000000, ""user_index"": 5, ""username"": ""LP""}"
deposit_collateral,16.0,"{""deposit_amount"": 10000000000000, ""user_index"": 6, ""username"": ""LP""}"
deposit_collateral,17.0,"{""deposit_amount"": 10000000000000, ""user_index"": 7, ""username"": ""LP""}"
deposit_collateral,18.0,"{""deposit_amount"": 10000000000000, ""user_index"": 8, ""username"": ""LP""}"
deposit_collateral,19.0,"{""deposit_amount"": 10000000000000, ""user_index"": 9, ""username"": ""LP""}"
deposit_collateral,30.0,"{""deposit_amount"": 62027000000, ""user_index"": 0, ""username"": ""openclose""}"
deposit_collateral,31.0,"{""deposit_amount"": 52918000000, ""user_index"": 1, ""username"": ""openclose""}"
deposit_collateral,32.0,"{""deposit_amount"": 26302000000, ""user_index"": 2, ""username"": ""openclose""}"
deposit_collateral,33.0,"{""deposit_amount"": 42187000000, ""user_index"": 3, ""username"": ""openclose""}"
deposit_collateral,34.0,"{""deposit_amount"": 4447000000, ""user_index"": 4, ""username"": ""openclose""}"
deposit_collateral,35.0,"{""deposit_amount"": 76234000000, ""user_index"": 5, ""username"": ""openclose""}"
deposit_collateral,36.0,"{""deposit_amount"": 49779000000, ""user_index"": 6, ""username"": ""openclose""}"
deposit_collateral,37.0,"{""deposit_amount"": 33238000000, ""user_index"": 7, ""username"": ""openclose""}"
deposit_collateral,38.0,"{""deposit_amount"": 79158000000, ""user_index"": 8, ""username"": ""openclose""}"
deposit_collateral,39.0,"{""deposit_amount"": 52345000000, ""user_index"": 9, ""username"": ""openclose""}"
deposit_collateral,40.0,"{""deposit_amount"": 77587000000, ""user_index"": 10, ""username"": ""openclose""}"
deposit_collateral,41.0,"{""deposit_amount"": 36594000000, ""user_index"": 11, ""username"": ""openclose""}"
deposit_collateral,42.0,"{""deposit_amount"": 44679000000, ""user_index"": 12, ""username"": ""openclose""}"
deposit_collateral,43.0,"{""deposit_amount"": 65866000000, ""user_index"": 13, ""username"": ""openclose""}"
deposit_collateral,44.0,"{""deposit_amount"": 78873000000, ""user_index"": 14, ""username"": ""openclose""}"
deposit_collateral,45.0,"{""deposit_amount"": 12515000000, ""user_index"": 15, ""username"": ""openclose""}"
deposit_collateral,46.0,"{""deposit_amount"": 18936000000, ""user_index"": 16, ""username"": ""openclose""}"
deposit_collateral,47.0,"{""deposit_amount"": 84701000000, ""user_index"": 17, ""username"": ""openclose""}"
deposit_collateral,48.0,"{""deposit_amount"": 62187000000, ""user_index"": 18, ""username"": ""openclose""}"
deposit_collateral,49.0,"{""deposit_amount"": 38448000000, ""user_index"": 19, ""username"": ""openclose""}"
deposit_collateral,50.0,"{""deposit_amount"": 1842000000, ""user_index"": 10, ""username"": ""openclose""}"
deposit_collateral,51.0,"{""deposit_amount"": 87593000000, ""user_index"": 11, ""username"": ""openclose""}"
deposit_collateral,52.0,"{""deposit_amount"": 57661000000, ""user_index"": 12, ""username"": ""openclose""}"
deposit_collateral,53.0,"{""deposit_amount"": 18330000000, ""user_index"": 13, ""username"": ""openclose""}"
deposit_collateral,54.0,"{""deposit_amount"": 54410000000, ""user_index"": 14, ""username"": ""openclose""}"
deposit_collateral,55.0,"{""deposit_amount"": 82402000000, ""user_index"": 15, ""username"": ""openclose""}"
deposit_collateral,56.0,"{""deposit_amount"": 35760000000, ""user_index"": 16, ""username"": ""openclose""}"
deposit_collateral,57.0,"{""deposit_amount"": 43058000000, ""user_index"": 17, ""username"": ""openclose""}"
deposit_collateral,58.0,"{""deposit_amount"": 51618000000, ""user_index"": 18, ""username"": ""openclose""}"
deposit_collateral,59.0,"{""deposit_amount"": 33885000000, ""user_index"": 19, ""username"": ""openclose""}"
add_liquidity,60.0,"{""market_index"": 0, ""token_amount"": 7604014550342071272, ""user_index"": 0}"
add_liquidity,60.0,"{""market_index"": 0, ""token_amount"": 5952631516372850016, ""user_index"": 6}"
open_position,60.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 62027000000, ""user_index"": 0}"
open_position,60.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 52918000000, ""user_index"": 1}"
open_position,60.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 26302000000, ""user_index"": 2}"
open_position,60.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 42187000000, ""user_index"": 3}"
open_position,60.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 77587000000, ""user_index"": 10}"
open_position,60.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1842000000, ""user_index"": 10}"
open_position,61.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 62187000000, ""user_index"": 18}"
close_position,62.0,"{""market_index"": 0, ""user_index"": 2}"
open_position,72.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 12515000000, ""user_index"": 15}"
settle_lp,76.0,"{""market_index"": 0, ""user_index"": 0}"
