event_name,timestamp,parameters
deposit_collateral,0,"{""deposit_amount"": 8860150, ""mint_amount"": 0, ""user_index"": 0, ""username"": ""multiple-openclose""}"
oracle_price,0,"{""conf"": 0, ""market_index"": 0, ""price"": 0.5, ""slot"": 0}"
oracle_price,1,"{""conf"": 0, ""market_index"": 0, ""price"": 0.525, ""slot"": 0}"
deposit_collateral,2,"{""deposit_amount"": 27220359, ""mint_amount"": 0, ""user_index"": 1, ""username"": ""multiple-openclose""}"
oracle_price,2,"{""conf"": 0, ""market_index"": 0, ""price"": 0.55125, ""slot"": 0}"
oracle_price,3,"{""conf"": 0, ""market_index"": 0, ""price"": 0.5788125000000001, ""slot"": 0}"
deposit_collateral,4,"{""deposit_amount"": 75235098, ""mint_amount"": 0, ""user_index"": 2, ""username"": ""multiple-openclose""}"
oracle_price,4,"{""conf"": 0, ""market_index"": 0, ""price"": 0.6077531250000001, ""slot"": 0}"
oracle_price,5,"{""conf"": 0, ""market_index"": 0, ""price"": 0.6381407812500002, ""slot"": 0}"
deposit_collateral,6,"{""deposit_amount"": 21285552, ""mint_amount"": 0, ""user_index"": 3, ""username"": ""multiple-openclose""}"
oracle_price,6,"{""conf"": 0, ""market_index"": 0, ""price"": 0.6700478203125002, ""slot"": 0}"
oracle_price,7,"{""conf"": 0, ""market_index"": 0, ""price"": 0.7035502113281252, ""slot"": 0}"
deposit_collateral,8,"{""deposit_amount"": 23466500, ""mint_amount"": 0, ""user_index"": 4, ""username"": ""multiple-openclose""}"
oracle_price,8,"{""conf"": 0, ""market_index"": 0, ""price"": 0.7387277218945315, ""slot"": 0}"
oracle_price,9,"{""conf"": 0, ""market_index"": 0, ""price"": 0.7756641079892581, ""slot"": 0}"
deposit_collateral,10,"{""deposit_amount"": 22325840, ""mint_amount"": 0, ""user_index"": 5, ""username"": ""multiple-openclose""}"
oracle_price,10,"{""conf"": 0, ""market_index"": 0, ""price"": 0.814447313388721, ""slot"": 0}"
oracle_price,11,"{""conf"": 0, ""market_index"": 0, ""price"": 0.8551696790581571, ""slot"": 0}"
deposit_collateral,12,"{""deposit_amount"": 95009410, ""mint_amount"": 0, ""user_index"": 6, ""username"": ""multiple-openclose""}"
oracle_price,12,"{""conf"": 0, ""market_index"": 0, ""price"": 0.897928163011065, ""slot"": 0}"
oracle_price,13,"{""conf"": 0, ""market_index"": 0, ""price"": 0.9428245711616184, ""slot"": 0}"
deposit_collateral,14,"{""deposit_amount"": 63741379, ""mint_amount"": 0, ""user_index"": 7, ""username"": ""multiple-openclose""}"
oracle_price,14,"{""conf"": 0, ""market_index"": 0, ""price"": 0.9899657997196992, ""slot"": 0}"
oracle_price,15,"{""conf"": 0, ""market_index"": 0, ""price"": 1.0394640897056844, ""slot"": 0}"
deposit_collateral,16,"{""deposit_amount"": 88701568, ""mint_amount"": 0, ""user_index"": 8, ""username"": ""multiple-openclose""}"
oracle_price,16,"{""conf"": 0, ""market_index"": 0, ""price"": 1.091437294190969, ""slot"": 0}"
oracle_price,17,"{""conf"": 0, ""market_index"": 0, ""price"": 1.1460091589005172, ""slot"": 0}"
deposit_collateral,18,"{""deposit_amount"": 24581416, ""mint_amount"": 0, ""user_index"": 9, ""username"": ""multiple-openclose""}"
oracle_price,18,"{""conf"": 0, ""market_index"": 0, ""price"": 1.203309616845543, ""slot"": 0}"
oracle_price,19,"{""conf"": 0, ""market_index"": 0, ""price"": 1.2634750976878202, ""slot"": 0}"
deposit_collateral,20,"{""deposit_amount"": 0, ""mint_amount"": 25372949, ""user_index"": 10, ""username"": ""if_staker""}"
init_if_stake,20,"{""market_index"": 0, ""user_index"": 10}"
add_if_stake,263,"{""amount"": 25372949, ""market_index"": 0, ""user_index"": 10}"
oracle_price,20,"{""conf"": 0, ""market_index"": 0, ""price"": 1.326648852572211, ""slot"": 0}"
open_position,25,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 27220359, ""user_index"": 1}"
oracle_price,25,"{""conf"": 0, ""market_index"": 0, ""price"": 1.6931774704496945, ""slot"": 0}"
settle_pnl,46,"{""market_index"": 0, ""user_index"": 1}"
oracle_price,46,"{""conf"": 0, ""market_index"": 0, ""price"": 3.758067797690796, ""slot"": 0}"
settle_pnl,69,"{""market_index"": 0, ""user_index"": 1}"
oracle_price,69,"{""conf"": 0, ""market_index"": 0, ""price"": 6.058067797690788, ""slot"": 0}"
settle_pnl,92,"{""market_index"": 0, ""user_index"": 1}"
oracle_price,92,"{""conf"": 0, ""market_index"": 0, ""price"": 8.358067797690781, ""slot"": 0}"
settle_pnl,115,"{""market_index"": 0, ""user_index"": 1}"
oracle_price,115,"{""conf"": 0, ""market_index"": 0, ""price"": 10.658067797690771, ""slot"": 0}"
open_position,128,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 95009410, ""user_index"": 6}"
oracle_price,128,"{""conf"": 0, ""market_index"": 0, ""price"": 11.958067797690768, ""slot"": 0}"
