mint,owner,amount,delegate_option,delegate,state,is_native_option,is_native,delegated_amount,close_authority_option,close_authority,slot,write_version,updated_on
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',11,214,2022-10-31 17:06:30.455672
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',100000000,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',71,1095,2022-10-31 17:06:59.171333
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',200000000,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',73,1112,2022-10-31 17:07:00.099508
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',300000000,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',76,1142,2022-10-31 17:07:01.536296
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',400000000,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',78,1165,2022-10-31 17:07:02.870169
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',500000000,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',81,1190,2022-10-31 17:07:03.997050
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',600000000,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',83,1215,2022-10-31 17:07:05.296066
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',700000000,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',85,1234,2022-10-31 17:07:06.207085
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',800000000,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',87,1256,2022-10-31 17:07:07.102868
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',900000000,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',89,1278,2022-10-31 17:07:07.983439
