slot,ix_name,ix_args,error,compute
28,init_if_stake,{'spot_market_index': 0},,22696
30,init_if_stake,{'spot_market_index': 0},,22696
32,init_if_stake,{'spot_market_index': 0},,25696
34,init_if_stake,{'spot_market_index': 0},,24196
36,init_if_stake,{'spot_market_index': 0},,22696
38,init_if_stake,{'spot_market_index': 0},,24196
40,init_if_stake,{'spot_market_index': 0},,22696
42,init_if_stake,{'spot_market_index': 0},,34696
43,init_if_stake,{'spot_market_index': 0},,22696
46,init_if_stake,{'spot_market_index': 0},,22696
49,init_if_stake,{'spot_market_index': 0},,24196
51,init_if_stake,{'spot_market_index': 0},,22696
53,init_if_stake,{'spot_market_index': 0},,22696
55,init_if_stake,{'spot_market_index': 0},,24196
57,init_if_stake,{'spot_market_index': 0},,22696
58,init_if_stake,{'spot_market_index': 0},,22696
61,init_if_stake,{'spot_market_index': 0},,22696
64,init_if_stake,{'spot_market_index': 0},,24196
66,init_if_stake,{'spot_market_index': 0},,22696
68,init_if_stake,{'spot_market_index': 0},,24196
70,add_if_stake,"{'spot_market_index': 0, 'amount': 100000000}",,38716
71,add_if_stake,"{'spot_market_index': 0, 'amount': 100000000}",,38897
74,add_if_stake,"{'spot_market_index': 0, 'amount': 100000000}",,38897
77,add_if_stake,"{'spot_market_index': 0, 'amount': 100000000}",,38897
79,add_if_stake,"{'spot_market_index': 0, 'amount': 100000000}",,38897
82,add_if_stake,"{'spot_market_index': 0, 'amount': 100000000}",,38897
84,add_if_stake,"{'spot_market_index': 0, 'amount': 100000000}",,38897
86,add_if_stake,"{'spot_market_index': 0, 'amount': 100000000}",,38897
88,add_if_stake,"{'spot_market_index': 0, 'amount': 100000000}",,38897
90,add_if_stake,"{'spot_market_index': 0, 'amount': 100000000}",,38897
92,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 27777777777, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'max_ts': None, 'trigger_price': 0, 'trigger_condition': {'Above': Container()}, 'oracle_price_offset': 0, 'auction_duration': None, 'auction_start_price': None, 'auction_end_price': None}}",,59996
93,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 27777700000, 'limit_price': None}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i consumed 27287 of 200000 compute units', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)",-1
94,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 27777777777, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'max_ts': None, 'trigger_price': 0, 'trigger_condition': {'Above': Container()}, 'oracle_price_offset': 0, 'auction_duration': None, 'auction_start_price': None, 'auction_end_price': None}}",,66260
95,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 27777700000, 'limit_price': None}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i consumed 27288 of 200000 compute units', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)",-1
95,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 27777700000, 'limit_price': None}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i consumed 27288 of 200000 compute units', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)",-1
96,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 27777777777, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'max_ts': None, 'trigger_price': 0, 'trigger_condition': {'Above': Container()}, 'oracle_price_offset': 0, 'auction_duration': None, 'auction_start_price': None, 'auction_end_price': None}}",,66275
97,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 27777700000, 'limit_price': None}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i consumed 27287 of 200000 compute units', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)",-1
97,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 27777700000, 'limit_price': None}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i consumed 27287 of 200000 compute units', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)",-1
97,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 27777700000, 'limit_price': None}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i consumed 27287 of 200000 compute units', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)",-1
98,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 27777777777, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'max_ts': None, 'trigger_price': 0, 'trigger_condition': {'Above': Container()}, 'oracle_price_offset': 0, 'auction_duration': None, 'auction_start_price': None, 'auction_end_price': None}}",,66272
99,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 27777700000, 'limit_price': None}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i consumed 27287 of 200000 compute units', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)",-1
99,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 27777700000, 'limit_price': None}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i consumed 27287 of 200000 compute units', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)",-1
99,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 27777700000, 'limit_price': None}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i consumed 27287 of 200000 compute units', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)",-1
99,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 27777700000, 'limit_price': None}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i consumed 27287 of 200000 compute units', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)",-1
100,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 27777777777, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'max_ts': None, 'trigger_price': 0, 'trigger_condition': {'Above': Container()}, 'oracle_price_offset': 0, 'auction_duration': None, 'auction_start_price': None, 'auction_end_price': None}}",,66027
101,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 27777700000, 'limit_price': None}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i consumed 27287 of 200000 compute units', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)",-1
101,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 27777700000, 'limit_price': None}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i consumed 27287 of 200000 compute units', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)",-1
101,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 20578900000, 'limit_price': None}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i consumed 27285 of 200000 compute units', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)",-1
101,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 27777700000, 'limit_price': None}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i consumed 27287 of 200000 compute units', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)",-1
101,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 27777700000, 'limit_price': None}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i consumed 27287 of 200000 compute units', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)",-1
102,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 27777777777, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'max_ts': None, 'trigger_price': 0, 'trigger_condition': {'Above': Container()}, 'oracle_price_offset': 0, 'auction_duration': None, 'auction_start_price': None, 'auction_end_price': None}}",,66004
103,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 27777700000, 'limit_price': None}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i consumed 27287 of 200000 compute units', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)",-1
103,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 27777700000, 'limit_price': None}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i consumed 27287 of 200000 compute units', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)",-1
103,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 10289400000, 'limit_price': None}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i consumed 27285 of 200000 compute units', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)",-1
103,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 27777700000, 'limit_price': None}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i consumed 27287 of 200000 compute units', 'Program H4G1xzAoqSW8n1Edmeowqsgc895tSNCeDPafYjv4Md7i failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)",-1
