mint,owner,amount,delegate_option,delegate,state,is_native_option,is_native,delegated_amount,close_authority_option,close_authority,slot,write_version,updated_on
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',11,213,2022-10-31 17:06:30.455636
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',100000000,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',27,586,2022-10-31 17:06:37.957889
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',200000000,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',27,592,2022-10-31 17:06:37.959165
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',100000200000000,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',27,602,2022-10-31 17:06:37.962815
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',100000300000000,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',27,617,2022-10-31 17:06:37.967712
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',100000400000000,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',27,625,2022-10-31 17:06:37.971125
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',100000500000000,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',27,631,2022-10-31 17:06:37.974595
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',100000600000000,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',27,645,2022-10-31 17:06:37.979419
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',100000700000000,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',27,660,2022-10-31 17:06:37.997388
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',100000800000000,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',27,667,2022-10-31 17:06:37.989649
