authority,referrer,fees,next_epoch_ts,maker_volume30d,taker_volume30d,filler_volume30d,last_maker_volume30d_ts,last_taker_volume30d_ts,last_filler_volume30d_ts,if_staked_quote_asset_amount,number_of_sub_accounts,max_sub_account_id,is_referrer,padding,slot,write_version,updated_on
2Bzm7SRpeNF1CqNvUnCif9JobVBoq7AWLHp8Zoa45pDD,11111111111111111111111111111111,"UserFees(total_fee_paid=0, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,0,0,0,1667235996,1667235996,1667235996,0,1,0,False,"ListContainer: 
    0
    0
    0",25,478,2022-10-31 17:06:37.178796
2Bzm7SRpeNF1CqNvUnCif9JobVBoq7AWLHp8Zoa45pDD,11111111111111111111111111111111,"UserFees(total_fee_paid=0, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,0,0,0,1667235996,1667235996,1667235996,0,1,0,False,"ListContainer: 
    0
    0
    0",27,601,2022-10-31 17:06:37.962776
2Bzm7SRpeNF1CqNvUnCif9JobVBoq7AWLHp8Zoa45pDD,11111111111111111111111111111111,"UserFees(total_fee_paid=0, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,315002506,0,0,1667236040,1667235996,1667235996,0,1,0,False,"ListContainer: 
    0
    0
    0",116,1531,2022-10-31 17:07:20.836056
2Bzm7SRpeNF1CqNvUnCif9JobVBoq7AWLHp8Zoa45pDD,11111111111111111111111111111111,"UserFees(total_fee_paid=0, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,630004890,0,0,1667236040,1667235996,1667235996,0,1,0,False,"ListContainer: 
    0
    0
    0",116,1536,2022-10-31 17:07:20.842084
2Bzm7SRpeNF1CqNvUnCif9JobVBoq7AWLHp8Zoa45pDD,11111111111111111111111111111111,"UserFees(total_fee_paid=0, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,945007152,0,0,1667236040,1667235996,1667235996,0,1,0,False,"ListContainer: 
    0
    0
    0",116,1542,2022-10-31 17:07:20.843850
2Bzm7SRpeNF1CqNvUnCif9JobVBoq7AWLHp8Zoa45pDD,11111111111111111111111111111111,"UserFees(total_fee_paid=0, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,1260009293,0,0,1667236040,1667235996,1667235996,0,1,0,False,"ListContainer: 
    0
    0
    0",116,1549,2022-10-31 17:07:20.845344
2Bzm7SRpeNF1CqNvUnCif9JobVBoq7AWLHp8Zoa45pDD,11111111111111111111111111111111,"UserFees(total_fee_paid=0, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,1376691857,0,0,1667236040,1667235996,1667235996,0,1,0,False,"ListContainer: 
    0
    0
    0",116,1556,2022-10-31 17:07:20.848120
2Bzm7SRpeNF1CqNvUnCif9JobVBoq7AWLHp8Zoa45pDD,11111111111111111111111111111111,"UserFees(total_fee_paid=0, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,1610058561,0,0,1667236040,1667235996,1667235996,0,1,0,False,"ListContainer: 
    0
    0
    0",116,1560,2022-10-31 17:07:20.849596
2Bzm7SRpeNF1CqNvUnCif9JobVBoq7AWLHp8Zoa45pDD,11111111111111111111111111111111,"UserFees(total_fee_paid=0, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,1610058561,0,0,1667236040,1667235996,1667235996,0,1,0,False,"ListContainer: 
    0
    0
    0",116,1566,2022-10-31 17:07:20.853842
2Bzm7SRpeNF1CqNvUnCif9JobVBoq7AWLHp8Zoa45pDD,11111111111111111111111111111111,"UserFees(total_fee_paid=0, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,1610058561,0,0,1667236040,1667235996,1667235996,0,1,0,False,"ListContainer: 
    0
    0
    0",117,1581,2022-10-31 17:07:21.569253
