event_name,timestamp,parameters
deposit_collateral,0.0,"{""deposit_amount"": 10000000000000, ""user_index"": 0, ""username"": ""LP""}"
deposit_collateral,1.0,"{""deposit_amount"": 10000000000000, ""user_index"": 1, ""username"": ""LP""}"
deposit_collateral,2.0,"{""deposit_amount"": 10000000000000, ""user_index"": 2, ""username"": ""LP""}"
deposit_collateral,3.0,"{""deposit_amount"": 10000000000000, ""user_index"": 3, ""username"": ""LP""}"
deposit_collateral,4.0,"{""deposit_amount"": 10000000000000, ""user_index"": 4, ""username"": ""LP""}"
deposit_collateral,5.0,"{""deposit_amount"": 10000000000000, ""user_index"": 5, ""username"": ""LP""}"
deposit_collateral,6.0,"{""deposit_amount"": 10000000000000, ""user_index"": 6, ""username"": ""LP""}"
deposit_collateral,7.0,"{""deposit_amount"": 10000000000000, ""user_index"": 7, ""username"": ""LP""}"
deposit_collateral,8.0,"{""deposit_amount"": 10000000000000, ""user_index"": 8, ""username"": ""LP""}"
deposit_collateral,9.0,"{""deposit_amount"": 10000000000000, ""user_index"": 9, ""username"": ""LP""}"
deposit_collateral,10.0,"{""deposit_amount"": 98126000000, ""user_index"": 10, ""username"": ""openclose""}"
deposit_collateral,11.0,"{""deposit_amount"": 60532000000, ""user_index"": 11, ""username"": ""openclose""}"
deposit_collateral,12.0,"{""deposit_amount"": 38605000000, ""user_index"": 12, ""username"": ""openclose""}"
deposit_collateral,13.0,"{""deposit_amount"": 4045000000, ""user_index"": 13, ""username"": ""openclose""}"
deposit_collateral,14.0,"{""deposit_amount"": 19910000000, ""user_index"": 14, ""username"": ""openclose""}"
deposit_collateral,15.0,"{""deposit_amount"": 48640000000, ""user_index"": 15, ""username"": ""openclose""}"
deposit_collateral,16.0,"{""deposit_amount"": 17219000000, ""user_index"": 16, ""username"": ""openclose""}"
deposit_collateral,17.0,"{""deposit_amount"": 48853000000, ""user_index"": 17, ""username"": ""openclose""}"
deposit_collateral,18.0,"{""deposit_amount"": 73641000000, ""user_index"": 18, ""username"": ""openclose""}"
deposit_collateral,19.0,"{""deposit_amount"": 64862000000, ""user_index"": 19, ""username"": ""openclose""}"
open_position,41.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 38605000000, ""user_index"": 12}"
add_liquidity,81.0,"{""market_index"": 0, ""token_amount"": 6509061905985721278, ""user_index"": 7}"
open_position,115.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 98126000000, ""user_index"": 10}"
add_liquidity,130.0,"{""market_index"": 0, ""token_amount"": 3729459817593695558, ""user_index"": 8}"
add_liquidity,134.0,"{""market_index"": 0, ""token_amount"": 3914645973340050515, ""user_index"": 3}"
add_liquidity,141.0,"{""market_index"": 0, ""token_amount"": 8484026496071295839, ""user_index"": 0}"
add_liquidity,147.0,"{""market_index"": 0, ""token_amount"": 2363253502432815655, ""user_index"": 1}"
remove_liquidity,149.0,"{""lp_token_amount"": 3729459817593695558, ""market_index"": 0, ""user_index"": 8}"
add_liquidity,171.0,"{""market_index"": 0, ""token_amount"": 3206740364894305091, ""user_index"": 4}"
open_position,211.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 48853000000, ""user_index"": 17}"
close_position,212.0,"{""market_index"": 0, ""user_index"": 17}"
open_position,227.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 48640000000, ""user_index"": 15}"
open_position,228.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 73641000000, ""user_index"": 18}"
open_position,237.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 19910000000, ""user_index"": 14}"
open_position,237.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 17219000000, ""user_index"": 16}"
remove_liquidity,258.0,"{""lp_token_amount"": 2363253502432815655, ""market_index"": 0, ""user_index"": 1}"
remove_liquidity,259.0,"{""lp_token_amount"": 6509061905985721278, ""market_index"": 0, ""user_index"": 7}"
close_position,263.0,"{""market_index"": 0, ""user_index"": 12}"
remove_liquidity,275.0,"{""lp_token_amount"": 3206740364894305091, ""market_index"": 0, ""user_index"": 4}"
close_position,285.0,"{""market_index"": 0, ""user_index"": 10}"
remove_liquidity,315.0,"{""lp_token_amount"": 3914645973340050515, ""market_index"": 0, ""user_index"": 3}"
add_liquidity,330.0,"{""market_index"": 0, ""token_amount"": 7574724247537018015, ""user_index"": 6}"
close_position,333.0,"{""market_index"": 0, ""user_index"": 18}"
remove_liquidity,335.0,"{""lp_token_amount"": 8484026496071295839, ""market_index"": 0, ""user_index"": 0}"
open_position,373.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 64862000000, ""user_index"": 19}"
close_position,384.0,"{""market_index"": 0, ""user_index"": 15}"
close_position,386.0,"{""market_index"": 0, ""user_index"": 14}"
close_position,397.0,"{""market_index"": 0, ""user_index"": 19}"
add_liquidity,404.0,"{""market_index"": 0, ""token_amount"": 1525877937429526970, ""user_index"": 5}"
close_position,411.0,"{""market_index"": 0, ""user_index"": 16}"
add_liquidity,443.0,"{""market_index"": 0, ""token_amount"": 818455350963391602, ""user_index"": 9}"
remove_liquidity,453.0,"{""lp_token_amount"": 7574724247537018015, ""market_index"": 0, ""user_index"": 6}"
add_liquidity,468.0,"{""market_index"": 0, ""token_amount"": 634557681325065302, ""user_index"": 2}"
open_position,468.0,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 4045000000, ""user_index"": 13}"
open_position,488.0,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 60532000000, ""user_index"": 11}"
remove_liquidity,504.0,"{""lp_token_amount"": 1525877937429526970, ""market_index"": 0, ""user_index"": 5}"
close_position,10000000000505.0,"{""market_index"": 0, ""user_index"": 0}"
close_position,10000000000506.0,"{""market_index"": 0, ""user_index"": 1}"
remove_liquidity,10000000000507.0,"{""lp_token_amount"": -1, ""market_index"": 0, ""user_index"": 2}"
close_position,10000000000508.0,"{""market_index"": 0, ""user_index"": 2}"
close_position,10000000000509.0,"{""market_index"": 0, ""user_index"": 3}"
close_position,10000000000510.0,"{""market_index"": 0, ""user_index"": 4}"
close_position,10000000000511.0,"{""market_index"": 0, ""user_index"": 5}"
close_position,10000000000512.0,"{""market_index"": 0, ""user_index"": 6}"
close_position,10000000000513.0,"{""market_index"": 0, ""user_index"": 7}"
remove_liquidity,10000000000514.0,"{""lp_token_amount"": -1, ""market_index"": 0, ""user_index"": 9}"
close_position,10000000000515.0,"{""market_index"": 0, ""user_index"": 9}"
close_position,10000000000516.0,"{""market_index"": 0, ""user_index"": 11}"
