event_name,timestamp,parameters
null,0,{}
deposit_collateral,1,"{""deposit_amount"": 10000000000000, ""user_index"": 0, ""username"": ""arb""}"
deposit_collateral,2,"{""deposit_amount"": 10000000000000, ""user_index"": 0, ""username"": ""noise""}"
deposit_collateral,3,"{""deposit_amount"": 103219999999999.98, ""user_index"": 1, ""username"": ""LP""}"
open_position,4,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 5200227563199, ""user_index"": 0}"
null,4,{}
add_liquidity,4,"{""market_index"": 0, ""quote_amount"": 103219999999999.98, ""user_index"": 1}"
open_position,5,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 982948201527, ""user_index"": 0}"
null,5,{}
null,5,{}
open_position,6,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 194395981133, ""user_index"": 0}"
null,6,{}
null,6,{}
open_position,7,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 38762257736, ""user_index"": 0}"
null,7,{}
null,7,{}
open_position,8,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 4176050393594, ""user_index"": 0}"
null,8,{}
null,8,{}
open_position,9,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 875580913717, ""user_index"": 0}"
null,9,{}
null,9,{}
open_position,10,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 177035748024, ""user_index"": 0}"
null,10,{}
null,10,{}
open_position,11,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 35513921935, ""user_index"": 0}"
null,11,{}
null,11,{}
open_position,12,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 7112759812, ""user_index"": 0}"
null,12,{}
null,12,{}
open_position,13,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1424089719, ""user_index"": 0}"
null,13,{}
null,13,{}
open_position,14,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 285107152, ""user_index"": 0}"
null,14,{}
null,14,{}
open_position,15,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 325435338005, ""user_index"": 0}"
null,15,{}
null,15,{}
open_position,16,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 64783115759, ""user_index"": 0}"
null,16,{}
null,16,{}
open_position,17,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 12934203332, ""user_index"": 0}"
null,17,{}
null,17,{}
open_position,18,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 2583876457, ""user_index"": 0}"
null,18,{}
null,18,{}
open_position,19,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 544704975799, ""user_index"": 0}"
null,19,{}
null,19,{}
open_position,20,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 108171184742, ""user_index"": 0}"
null,20,{}
null,20,{}
open_position,21,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 21586550589, ""user_index"": 0}"
null,21,{}
null,21,{}
