event_name,timestamp,parameters
trade,-1,"{""direction"": ""long"", ""market_index"": -1, ""quote_amount"": 0, ""user_index"": 0}"
trade,1,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,2,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 20573.878965890137, ""user_index"": 0}"
trade,3,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 514.3469741481796, ""user_index"": 0}"
trade,4,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 12.858674353704492, ""user_index"": 0}"
trade,5,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 0.3214668581736328, ""user_index"": 0}"
trade,6,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,7,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 57794.98822402158, ""user_index"": 0}"
trade,8,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,9,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,10,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,11,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,12,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,13,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,14,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,15,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 243936.2896539736, ""user_index"": 0}"
trade,16,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 6098.407241349701, ""user_index"": 0}"
trade,17,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 152.4601810339998, ""user_index"": 0}"
trade,18,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 3.8115045247693358, ""user_index"": 0}"
trade,19,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 0.09528761306777343, ""user_index"": 0}"
trade,20,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 75300.60660030264, ""user_index"": 0}"
trade,21,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1882.5151650083892, ""user_index"": 0}"
trade,22,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 47.062879124900974, ""user_index"": 0}"
trade,23,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,24,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,25,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,26,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,27,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,28,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,29,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 457286.90266710176, ""user_index"": 0}"
trade,30,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 11432.172566677904, ""user_index"": 0}"
trade,31,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 285.804314166433, ""user_index"": 0}"
trade,32,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 7.145107854006445, ""user_index"": 0}"
trade,33,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 0.1786276970191406, ""user_index"": 0}"
trade,34,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 0.004465693351757813, ""user_index"": 0}"
trade,35,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 372193.83221285767, ""user_index"": 0}"
trade,36,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 9304.845805321647, ""user_index"": 0}"
trade,37,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 232.62114513298974, ""user_index"": 0}"
trade,38,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 552162.1700465934, ""user_index"": 0}"
trade,39,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 13804.054251165146, ""user_index"": 0}"
trade,40,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 345.1013562787426, ""user_index"": 0}"
trade,41,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 8.627533906582617, ""user_index"": 0}"
trade,42,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 0.2156883478189453, ""user_index"": 0}"
trade,43,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 0.005392209364453125, ""user_index"": 0}"
trade,44,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 0.000134804513671875, ""user_index"": 0}"
trade,45,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 3.37062744140625e-06, ""user_index"": 0}"
trade,46,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 169441.10393803968, ""user_index"": 0}"
trade,47,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,48,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,49,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,50,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,51,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,52,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,53,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,54,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,55,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 422612.7603496663, ""user_index"": 0}"
trade,56,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 10565.319008741839, ""user_index"": 0}"
trade,57,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 264.13297521797983, ""user_index"": 0}"
trade,58,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 6.603324380295117, ""user_index"": 0}"
trade,59,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 0.16508311007343748, ""user_index"": 0}"
trade,60,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 0.004127077545996094, ""user_index"": 0}"
trade,61,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 0.0001031772216796875, ""user_index"": 0}"
trade,62,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 2.5791732421875e-06, ""user_index"": 0}"
