net_base_asset_amount,total_base_asset_amount,open_interest,total_fees,margin_ratio_initial,margin_ratio_maintenance,margin_ratio_partial,base_asset_reserve,quote_asset_reserve,funding_period,sqrt_k,peg_multiplier,last_funding_rate,last_funding_rate_ts,last_oracle_price_twap,last_oracle_price_twap_ts,last_mark_price_twap,last_mark_price_twap_ts,cumulative_funding_rate_long,cumulative_funding_rate_short,base_spread,user0.base_asset_amount,user0.quote_asset_amount,user0.last_cumulative_funding_rate,user0.market_index,user0.collateral,user0.position0.upnl,user0.total_collateral,user0.position0.ufunding,user0.free_collateral,user0.margin_ratio,user0.total_position_value,oracle_price,mark_price
0.0,0.0,0,0.0,1000,625,500,10000000000000.0,10000000000000.0,3600,10000000000000,10539,0.0,0,10.539309690636415,0,10.539,0,0.0,0.0,0,0.0,0.0,0.0,0,1000000000.0,0.0,1000000000.0,0.0,1000000000.0,1000000000.0,0.0,10.539309690636415,10.539
146922767.45117188,146922767.45117188,1,1.5484417963078712,1000,625,500,9999853077232.549,10000146924926.113,3600,10000000000000,10539,-0.12900192135104996,1,10.539309690636415,1,10.539000086025172,1,-0.12900192135104996,-0.12900192135104996,0,146922767.45117188,154.84417963078712,0.0,0,999999998.4515582,-2.842170943040401e-14,999999998.4515582,1.895331929141468e-10,999999982.9671403,6458105.1792581035,154.8441796307871,10.539309690636415,10.539309690634308
-276970559276.4824,276970559276.4824,1,2843.585673251517,1000,625,500,10276676713741.58,9730772192754.086,3600,10000000000000,10539,-0.06390506639049794,2,10.53899820517319,2,10.538844833013853,2,-0.1929069877415479,-0.1929069877415479,0,-276970559276.4824,284048.8789658901,-0.12900192135104996,0,999997155.4097766,-1.0000000000582077,999997154.4097766,-1.7699821978776958e-07,999968749.42188,3520.498435170466,284049.87896589015,9.978557974644488,9.979160675776235
-277280908284.791,277280908284.791,1,2846.68260234573,1000,625,500,10276987062749.889,9730478338584.41,3600,10000000000000,10539,-0.06379983080876765,3,10.538686892733407,3,10.538533773139466,3,-0.2567068185503156,-0.2567068185503156,0,-277280908284.791,284358.5718753114,-0.1929069877415479,0,999997152.3128475,-1.0000000000582077,999997151.3128475,-1.769047503507109e-07,999968715.35566,3516.6642878170296,284359.57187531143,9.978557974644488,9.97855797464643
-277280908284.791,277280908284.791,1,2846.68260234573,1000,625,500,10276987062749.889,9730478338584.41,3600,10000000000000,10539,-0.06376439138181904,4,10.538375753220961,4,10.538222718681645,4,-0.3204712099321346,-0.3204712099321346,0,-277280908284.791,284358.5718753114,-0.2567068185503156,0,999997152.3128475,-1.0000000000582077,999997151.3128475,-1.7680648358577686e-07,999968715.35566,3516.6642878170296,284359.57187531143,9.978557974644488,9.97855797464643
-277280908284.791,277280908284.791,1,2846.68260234573,1000,625,500,10276987062749.889,9730478338584.41,3600,10000000000000,10539,-0.06372897164060494,5,10.538064786539792,5,10.537911837007854,5,-0.38420018157273955,-0.38420018157273955,0,-277280908284.791,284358.5718753114,-0.3204712099321346,0,999997152.3128475,-1.0000000000582077,999997151.3128475,-1.767082714056262e-07,999968715.35566,3516.6642878170296,284359.57187531143,9.978557974644488,9.97855797464643
157234837447.54688,711796654017.1289,1,7200.395457657225,1000,625,500,10397033133587.133,9618128432904.06,3600,10000000000000,10539,-0.41504784911531684,6,10.538234625593962,6,10.537238510756085,6,-0.7992480306880564,-0.7992480306880564,0,157234837447.54688,151011.7136558381,-0.38420018157273955,0,999439022.7488645,8.731149137020111e-10,999439022.7488645,6.525998108860081e-07,999423921.5774989,6618.288068875381,151011.71365583898,10.843817549704378,9.749459701818155
830724258950.8965,1385286075520.4785,1,14221.350373188734,1000,625,500,9723543712083.783,10284316393387.172,3600,10000000000000,10539,-0.5765017351004135,7,10.538572671278079,7,10.537189067113838,7,-1.3757497657884699,-1.3757497657884699,0,830724258950.8965,853107.2052089891,-0.7992480306880564,0,999432001.793949,9.313225746154785e-10,999432001.793949,4.7891397667519705e-06,999346691.0734282,1171.5198227040094,853107.20520899,11.146801380162891,11.146801380160596
830724258950.8965,1385286075520.4785,1,14221.350373188734,1000,625,500,9723543712083.783,10284316393387.172,3600,10000000000000,10539,-0.5761815008435237,8,10.538910529185124,8,10.5375276935831,8,-1.9519312666319935,-1.9519312666319935,0,830724258950.8965,853107.2052089891,-1.3757497657884699,0,999432001.793949,9.313225746154785e-10,999432001.793949,4.786479503094515e-06,999346691.0734282,1171.5198227040094,853107.20520899,11.146801380162891,11.146801380160596
830724258950.8965,1385286075520.4785,1,14221.350373188734,1000,625,500,9723543712083.783,10284316393387.172,3600,10000000000000,10539,-0.5758614444673071,9,10.539248199419397,9,10.537866131952676,9,-2.5277927110993006,-2.5277927110993006,0,830724258950.8965,853107.2052089891,-1.9519312666319935,0,999432001.793949,9.313225746154785e-10,999432001.793949,4.783820717134965e-06,999346691.0734282,1171.5198227040094,853107.20520899,11.146801380162891,11.146801380160596
