net_base_asset_amount,total_base_asset_amount,open_interest,total_fees,margin_ratio_initial,margin_ratio_maintenance,margin_ratio_partial,base_asset_reserve,quote_asset_reserve,funding_period,sqrt_k,peg_multiplier,last_funding_rate,last_funding_rate_ts,last_oracle_price_twap,last_oracle_price_twap_ts,last_mark_price_twap,last_mark_price_twap_ts,cumulative_funding_rate_long,cumulative_funding_rate_short,base_spread,user0.base_asset_amount,user0.quote_asset_amount,user0.last_cumulative_funding_rate,user0.market_index,user0.collateral,user0.position0.upnl,user0.total_collateral,user0.position0.ufunding,user0.free_collateral,user0.margin_ratio,user0.total_position_value,oracle_price,mark_price,bid_price,ask_price
0.0,0.0,0,0.0,1000,625,500,10000000000000.0,10000000000000.0,3600,10000000000000.0,10539,0.0,0,10.539309690636417,0,10.539,0,0.0,0.0,100000.0,0.0,0.0,0.0,0,1000000000.0,0.0,1000000000.0,0.0,1000000000.0,,0.0,10.539309690636417,10.539,10.018636874999999,11.072536875
0.0,0.0,1,0.0,1000,625,500,10000000000000.0,10000000000000.0,3600,10000000000000.0,10539,-0.129037765175255,1,10.539309690636417,1,10.538999999999996,1,-0.129037765175255,-0.129037765175255,100000.0,0.0,0.0,0.0,0,1000000000.0,0.0,1000000000.0,0.0,1000000000.0,,0.0,10.539309690636417,10.539,10.018636874999999,11.072536875
-20576806339.63086,20576806339.63086,2,205.73878965890137,1000,625,500,10019559845483.678,9980478338584.41,3600,10000000000000.0,10539,-0.004009978912626148,2,10.538998205173192,2,10.538988581223801,2,-0.13304774408788114,-0.13304774408788114,100000.0,-20576806339.63086,20573.878965890137,-0.129037765175255,0,999999794.2612103,-1072.884052501562,999998721.3771578,-8.251255951111158e-10,999996556.700856,46196.22437440327,21646.7630183917,9.978557974644488,10.497892405698137,9.979558968166794,11.029348208736604
-21092232696.00586,21092232696.00586,2,210.88225940038316,1000,625,500,10020049822049.324,9979990297049.02,3600,10000000000000.0,10539,0.11607302885445019,3,10.538686892733411,3,10.538965468002662,3,-0.016974715233430956,-0.016974715233430956,100000.0,-21092232696.00586,21088.225940038315,-0.13304774408788114,0,999999789.1177406,-1099.711111354176,999998689.4066293,2.4482393343282657e-08,999996470.6129242,45069.47568358413,22187.93705139249,9.978557974644488,10.496865745033604,9.978582998872573,11.02826957337593
-21105118985.05078,21105118985.05078,2,211.01084614392022,1000,625,500,10020062072077.463,9979978096010.635,3600,10000000000000.0,10539,0.2359675690599694,4,10.538375753220963,4,10.538942075386707,4,0.21899285382653844,0.21899285382653844,100000.0,-21105118985.05078,21101.08461439202,-0.016974715233430956,0,999999788.9891539,-1100.3818065873274,999998688.6073472,4.980123621623841e-08,999996468.4607052,45042.010723327505,22201.46642097935,9.978557974644488,10.496840079160236,9.9785586002517,11.028242608167725
-21105441142.671875,21105441142.671875,2,211.01406081250195,1000,625,500,10020062378328.549,9979977790984.676,3600,10000000000000.0,10539,0.3557924664103022,5,10.538064786539795,5,10.53891868845918,5,0.5747853202368407,0.5747853202368407,100000.0,-21105441142.671875,21101.406081250196,0.21899285382653844,0,999999788.9859391,-1100.3985739819473,999998688.5873652,7.509156958828694e-08,999996468.4068996,45041.324528170844,22201.804655232143,9.978557974644488,10.496839437513806,9.97855799028656,11.028241934037945
-21105441142.671875,21105441142.671875,2,211.01406081250195,1000,625,500,10020062378328.549,9979977790984.676,3600,10000000000000.0,10539,0.27528697934912455,6,10.538234625593965,6,10.538895314344403,6,0.8500722995859653,0.8500722995859653,100000.0,-21105441142.671875,21101.406081250196,0.5747853202368407,0,999999788.9859391,-1100.3985739819473,999998688.5873652,5.810053139996878e-08,999996468.4068996,45041.324528170844,22201.804655232143,10.843817549704378,10.496839437513806,9.97855799028656,11.028241934037945
32033222839.64453,74244105124.98828,2,788.9639430527178,1000,625,500,9965304795068.715,10034815999755.928,3600,10000000000000.0,10539,0.1383568379050478,7,10.538572671278082,7,10.538904727689054,7,0.9884291374910131,0.9884291374910131,100000.0,32033222839.64453,35593.183568789435,0.8500722995859653,0,999996985.4908576,-1706.8113604573591,999995278.6794971,-4.432015420000975e-08,999991890.0422763,29510.24891456559,33886.372208332075,11.146801380162891,10.612512913178636,10.08852008809044,11.149771379408307
32033222839.64453,74244105124.98828,2,788.9639430527178,1000,625,500,9965304795068.715,10034815999755.928,3600,10000000000000.0,10539,0.014619275277016897,8,10.538910529185125,8,10.53894561544579,8,1.0030484127680301,1.0030484127680301,100000.0,32033222839.64453,35593.183568789435,0.9884291374910131,0,999996985.4908576,-1706.8113604573591,999995278.6794971,-4.683025027027918e-09,999991890.0422763,29510.24891456559,33886.372208332075,11.146801380162891,10.612512913178636,10.08852008809044,11.149771379408307
32033222839.64453,74244105124.98828,2,788.9639430527178,1000,625,500,9965304795068.715,10034815999755.928,3600,10000000000000.0,10539,-0.10904955380845276,9,10.5392481994194,9,10.53898648049026,9,0.8939988589595774,0.8939988589595774,100000.0,32033222839.64453,35593.183568789435,1.0030484127680301,0,999996985.4908576,-1706.8113604573591,999995278.6794971,3.4932086577099726e-08,999991890.0422763,29510.24891456559,33886.372208332075,11.146801380162891,10.612512913178636,10.08852008809044,11.149771379408307
