event_name,timestamp,parameters
trade,-1,"{""direction"": ""long"", ""market_index"": -1, ""quote_amount"": 0, ""user_index"": 0}"
deposit_collateral,1,"{""deposit_amount"": 10000000000000, ""user_index"": 0}"
trade,2,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 2466698920.529814, ""user_index"": 0}"
trade,3,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,4,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,5,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,6,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,7,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,8,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,9,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,10,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,11,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,12,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,13,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,14,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,15,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,16,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 10604032935.526476, ""user_index"": 0}"
trade,17,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,18,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,19,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,20,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,21,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,22,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,23,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,24,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,25,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,26,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,27,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,28,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,29,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,30,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,31,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,32,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,33,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,34,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,35,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,36,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,37,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,38,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 42037501381.379425, ""user_index"": 0}"
trade,39,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 42256654348.74424, ""user_index"": 0}"
trade,40,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 42173551658.07568, ""user_index"": 0}"
trade,41,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 26351328052.846035, ""user_index"": 0}"
trade,42,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,43,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,44,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,45,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,46,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,47,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,48,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,49,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,50,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
trade,51,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 0, ""user_index"": 0}"
