base_asset_amount_long,base_asset_amount_short,base_asset_amount,total_base_asset_amount,open_interest,total_fees,total_exchange_fees,total_mm_fees,margin_ratio_initial,margin_ratio_maintenance,margin_ratio_partial,base_asset_reserve,quote_asset_reserve,funding_period,sqrt_k,peg_multiplier,last_funding_rate,last_funding_rate_ts,cumulative_funding_rate_long,cumulative_funding_rate_short,last_oracle_price,last_oracle_conf,last_oracle_normalised_price,last_oracle_price_twap,last_oracle_price_twap_ts,last_mark_price_twap,last_bid_price_twap,last_ask_price_twap,last_mark_price_twap_ts,base_spread,mark_std,buy_intensity,sell_intensity,last_spread,bid_price_before,ask_price_before,total_fee,total_fee_minus_distributions,strategies,oracle_price,mark_price,bid_price,ask_price,wouldbe_peg,predicted_long_funding,predicted_short_funding,last_mid_price_twap,repeg_to_oracle_cost,user0.base_asset_amount,user0.quote_asset_amount,user0.last_cumulative_funding_rate,user0.market_index,user0.collateral,user0.position0.upnl,user0.total_collateral,user0.position0.ufunding,user0.free_collateral,user0.margin_ratio,user0.total_position_value
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1000,625,500,3.67621620525518e+18,3.67621620525518e+18,3600,3676216205255179776,85572,0,0,0,0,85.572105,0,85.572105,85.572105,0,85.572,85.572,85.572,0,0,0.0,0,0,0,85.572,85.572,0.0,0.0,,85.572105,85.572,85.572,85.572,85.572,-5.112647397901837e-10,-5.112647397901837e-10,85.572,0.0,,,,,,,,,,,
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1000,625,500,3.67621620525518e+18,3.67621620525518e+18,3600,3676216205255179776,85572,0,0,0,0,85.572105,0,85.572105,85.572105,0,85.572,85.572,85.572,0,0,0.0,0,0,0,85.572,85.572,0.0,0.0,,85.572105,85.572,85.572,85.572,85.572,-5.112647397901837e-10,-5.112647397901837e-10,85.572,0.0,0.0,0.0,0.0,0.0,10000000000000.0,0.0,10000000000000.0,0.0,10000000000000.0,,0.0
1206917737268224.0,0.0,1206917737268224.0,1206917737268224.0,1,10.331228248431099,10.331228248431099,0.0,1000,625,500,3.6750092875179116e+18,3.677423519358909e+18,3600,3676216205255179776,85572,0,0,0,0,85.572105,0,85.572105,85.572105,2,85.57199999999999,85.57199999999999,85.57199999999999,2,0,0.056215000000008786,0,0,0,85.572,85.572,10331228.2484311,10.331228248431099,,85.572105,85.62821500000001,85.62821500000001,85.62821500000001,85.572,-5.112647398593792e-10,-5.112647398593792e-10,85.57199999999999,-0.0,1206917737268224.0,10331228248.431099,0.0,0.0,9999989668771.752,1.9073486328125e-06,9999989668771.752,0.0,9998956545946.908,967.9381220030976,10331228248.4311
1206917737268224.0,0.0,1206917737268224.0,1206917737268224.0,1,10.331228248431099,10.331228248431099,0.0,1000,625,500,3.6750092875179116e+18,3.677423519358909e+18,3600,3676216205255179776,85572,0,0,0,0,85.572105,0,85.572105,85.572105,2,85.57199999999999,85.57199999999999,85.57199999999999,2,0,0.056215000000008786,0,0,0,85.572,85.572,10331228.2484311,10.331228248431099,,85.572105,85.62821500000001,85.62821500000001,85.62821500000001,85.572,-5.112647398593792e-10,-5.112647398593792e-10,85.57199999999999,-0.0,1206917737268224.0,10331228248.431099,0.0,0.0,9999989668771.752,1.9073486328125e-06,9999989668771.752,0.0,9998956545946.908,967.9381220030976,10331228248.4311
1206917737268224.0,0.0,1206917737268224.0,1206917737268224.0,1,10.331228248431099,10.331228248431099,0.0,1000,625,500,3.6750092875179116e+18,3.677423519358909e+18,3600,3676216205255179776,85572,0,0,0,0,85.572105,0,85.572105,85.572105,2,85.57199999999999,85.57199999999999,85.57199999999999,2,0,0.056215000000008786,0,0,0,85.572,85.572,10331228.2484311,10.331228248431099,,85.572105,85.62821500000001,85.62821500000001,85.62821500000001,85.572,-5.112647398593792e-10,-5.112647398593792e-10,85.57199999999999,-0.0,1206917737268224.0,10331228248.431099,0.0,0.0,9999989668771.752,1.9073486328125e-06,9999989668771.752,0.0,9998956545946.908,967.9381220030976,10331228248.4311
1005378728051200.0,0.0,1005378728051200.0,1005378728051200.0,1,12.056876174408876,12.056876174408876,0.0,1000,625,500,3.6752108265271286e+18,3.677221859011368e+18,3600,3676216205255179776,85572,0,0,0,0,85.628215,0,85.572105,85.572105,5,85.57204684583331,85.57199999999999,85.57199999999999,5,0,0.0656060000000167,0,0,0,85.62821500000001,85.62821500000001,12056876.174408875,12.056876174408876,,85.628215,85.618824,85.618824,85.618824,85.572,-2.8316357045920597e-10,-2.8316357045920597e-10,85.57199999999999,5.631661034653696,1005378728051200.0,8606052255.99227,0.0,0.0,9999988415057.365,-471933.5389480591,9999987943123.826,0.0,9999127385091.58,1162.0352804136025,8605580322.453321
997373139715584.0,0.0,997373139715584.0,997373139715584.0,1,12.1254189309753,12.1254189309753,0.0,1000,625,500,3.675218832115464e+18,3.677213849059916e+18,3600,3676216205255179776,85572,0,0,0,0,85.628215,0,85.572105,85.5721205861111,6,85.57205983948725,85.57201561527776,85.57201561527776,6,0,0.06597900000001289,0,0,0,85.618824,85.618824,12125418.9309753,12.1254189309753,,85.628215,85.61845100000001,85.61845100000001,85.61845100000001,85.572,-2.9578667789641127e-10,-2.9578667789641127e-10,85.57201561527776,5.5868053065216,997373139715584.0,8537524337.473622,0.0,0.0,9999988361352.656,-486771.58672237396,9999987874581.07,0.0,9999134170824.482,1171.3651014656377,8537037565.8869
1396494237924352.0,0.0,1396494237924352.0,1396494237924352.0,1,15.54300309249065,15.54300309249065,0.0,1000,625,500,3.6748197110172554e+18,3.67761323018476e+18,3600,3676216205255179776,85572,0,0,0,0,85.628215,0,85.572105,85.57213616789274,7,85.57207272592073,85.57202861760685,85.57202861760685,7,0,0.0845780000000218,0,0,0,85.61845100000001,85.61845100000001,15543003.09249065,15.54300309249065,,85.628215,85.63705000000002,85.63705000000002,85.63705000000002,85.572,-3.089107761591086e-10,-3.089107761591086e-10,85.57202861760685,7.823339605648179,1396494237924352.0,11955108498.988974,0.0,0.0,9999984943768.494,-486771.58672332764,9999984456996.908,0.0,9998788994824.168,836.4952639258385,11954621727.40225
1396494237924352.0,0.0,1396494237924352.0,1396494237924352.0,1,15.54300309249065,15.54300309249065,0.0,1000,625,500,3.6748197110172554e+18,3.67761323018476e+18,3600,3676216205255179776,85572,0,0,0,0,85.628215,0,85.572105,85.57213616789274,7,85.57207272592073,85.57202861760685,85.57202861760685,7,0,0.0845780000000218,0,0,0,85.61845100000001,85.61845100000001,15543003.09249065,15.54300309249065,,85.628215,85.63705000000002,85.63705000000002,85.63705000000002,85.572,-3.089107761591086e-10,-3.089107761591086e-10,85.57202861760685,7.823339605648179,1396494237924352.0,11955108498.988974,0.0,0.0,9999984943768.494,-486771.58672332764,9999984456996.908,0.0,9998788994824.168,836.4952639258385,11954621727.40225
1396494237924352.0,0.0,1396494237924352.0,1396494237924352.0,1,15.54300309249065,15.54300309249065,0.0,1000,625,500,3.6748197110172554e+18,3.67761323018476e+18,3600,3676216205255179776,85572,0,0,0,0,85.628215,0,85.572105,85.57213616789274,7,85.57207272592073,85.57202861760685,85.57202861760685,7,0,0.0845780000000218,0,0,0,85.61845100000001,85.61845100000001,15543003.09249065,15.54300309249065,,85.628215,85.63705000000002,85.63705000000002,85.63705000000002,85.572,-3.089107761591086e-10,-3.089107761591086e-10,85.57202861760685,7.823339605648179,1396494237924352.0,11955108498.988974,0.0,0.0,9999984943768.494,-486771.58672332764,9999984456996.908,0.0,9998788994824.168,836.4952639258385,11954621727.40225
