m0_mark_price,m0_oracle_price,m0_bid_price,m0_ask_price,m0_wouldbe_peg,m0_wouldbe_peg_cost,m0_predicted_long_funding,m0_predicted_short_funding,m0_last_mid_price_twap,m0_repeg_to_oracle_cost,m0_market_index,m0_base_asset_amount_long,m0_base_asset_amount_short,m0_base_asset_amount,m0_total_base_asset_amount,m0_open_interest,m0_total_exchange_fees,m0_total_mm_fees,m0_margin_ratio_initial,m0_margin_ratio_maintenance,m0_margin_ratio_partial,m0_base_asset_reserve,m0_quote_asset_reserve,m0_funding_period,m0_sqrt_k,m0_peg_multiplier,m0_last_funding_rate,m0_last_funding_rate_ts,m0_cumulative_funding_rate_long,m0_cumulative_funding_rate_short,m0_last_oracle_price,m0_last_oracle_conf,m0_last_oracle_normalised_price,m0_last_oracle_price_twap,m0_last_oracle_price_twap_ts,m0_last_mark_price_twap,m0_last_bid_price_twap,m0_last_ask_price_twap,m0_last_mark_price_twap_ts,m0_net_base_asset_amount,m0_base_spread,m0_mark_std,m0_buy_intensity,m0_sell_intensity,m0_last_spread,m0_bid_price_before,m0_ask_price_before,m0_total_fee,m0_total_fee_minus_distributions,m0_strategies,m0_minimum_quote_asset_trade_size,timestamp,u0_collateral,u0_free_collateral,u0_margin_ratio,u0_total_position_value,u0_total_fee_paid,u0_total_fee_rebate,u0_open_orders,u0_cumulative_deposits,u0_total_collateral,u0_m0_base_asset_amount,u0_m0_quote_asset_amount,u0_m0_last_cumulative_funding_rate,u0_m0_last_funding_rate_ts,u0_m0_upnl,u0_m0_ufunding
169.981,169.981609,169.89602012381252,170.06600112381253,169.981,0.0,-1.492808554358556e-09,-1.492808554358556e-09,169.981,0.0,0,0.0,0,0.0,0,0,0.0,0.0,1000,625,500,3676216205255179776,3676216205255179776,3600,3676216205255179776,169981,0,0,0,0,169.981609,0,169.981609,169.981609,0,169.981,169.981,169.981,0,0.0,1000.0,0.0,0,0,1000.0,169.89602012381252,170.06600112381253,0.0,0.0,PrePeg_OracleRetreat,10000000,0,,,,,,,,,,,,,,,
169.981,169.981609,169.89602012381252,170.06600112381253,169.981,0.0,-1.492808554358556e-09,-1.492808554358556e-09,169.981,0.0,0,0.0,0,0.0,0,0,0.0,0.0,1000,625,500,3676216205255179776,3676216205255179776,3600,3676216205255179776,169981,0,0,0,0,169.981609,0,169.981609,169.981609,0,169.981,169.981,169.981,0,0.0,1000.0,0.0,0,0,1000.0,169.89602012381252,170.06600112381253,0.0,0.0,PrePeg_OracleRetreat,10000000,1,10000000000000.0,10000000000000.0,,0.0,0.0,0.0,0.0,10000000000000.0,10000000000000.0,,,,,,
169.98100544037646,169.981609,169.89602556146912,170.0660065669095,169.981,-0.0,-1.4928085543585558e-09,-1.4928085543585558e-09,169.9810000059021,-0.0,0,58800699392.0,0,58800699392.0,0,1,0.001,0.0004998142587903421,1000,625,500,3676216146425076224,3676216264085284352,3600,3676216205255179776,169981,0,0,0,0,169.981609,0,169.981609,169.98160900000002,2,169.98100000000002,169.98095278895767,169.98104722284657,2,58800699392.0,1000.0,5.4403764693233825e-06,0,0,1000.0,169.89602012381252,170.06600112381253,0.0014998142587903422,0.0014998142587903422,PrePeg_OracleRetreat,10000000,2,9999999999000.0,9999999898550.166,10005000.640479503,999500.1857412097,1000.0,499.81425879034214,0.0,10000000000000.0,9999999998500.186,58800699392.0,1000000.0,0.0,0.0,-499.81425879034214,0.0
169.98101088075308,169.981609,169.89603099912583,170.0660120100066,169.981,-0.0,-1.4928048500099867e-09,-1.4928048500099867e-09,169.98100000885154,-0.0,0,117601397248.0,0,117601397248.0,0,1,0.002,0.0009996285175806843,1000,625,500,3676216087594974208,3676216322915388928,3600,3676216205255179776,169981,0,0,0,0,169.981609,0,169.981609,169.98160900000002,3,169.98100000151123,169.9809291965507,169.9810708211524,3,117601397248.0,1000.0,1.0880753080755312e-05,0,0,1000.0,169.89602556146912,170.0660065669095,0.0029996285175806843,0.0029996285175806843,PrePeg_OracleRetreat,10000000,3,9999999998000.0,9999999797100.334,5002500.31948947,1999000.3714824193,2000.0,999.6285175806843,0.0,10000000000000.0,9999999997000.371,117601397248.0,2000000.0,0.0,0.0,-999.6285175806843,0.0
169.98101632112966,169.981609,169.89603643678265,170.06601745310377,169.981,-0.0,-1.492797442288209e-09,-1.492797442288209e-09,169.98100001331136,-0.0,0,176402093056.0,0,176402093056.0,0,1,0.003,0.001499434073343873,1000,625,500,3676216028764874752,3676216381745493504,3600,3676216205255179776,169981,0,0,0,0,169.981609,0,169.981609,169.98160900000002,4,169.98100000453326,169.9809056122076,169.9810944144151,4,176402093056.0,1000.0,1.6321129663765532e-05,0,0,1000.0,169.89603099912583,170.0660120100066,0.004499434073343873,0.004499434073343873,PrePeg_OracleRetreat,10000000,4,9999999997000.0,9999999695650.51,3335000.202813091,2998500.565926656,3000.0,1499.434073343873,0.0,10000000000000.0,9999999995500.566,176402093056.0,3000000.0,0.0,0.0,-1499.434073343873,0.0
169.98102176150644,169.981609,169.8960418744395,170.06602289620105,169.981,-0.0,-1.4927863323079199e-09,-1.4927863323079199e-09,169.98100001928117,-0.0,0,235202787328.0,0,235202787328.0,0,1,0.004,0.001999239629107062,1000,625,500,3676215969934776832,3676216440575598080,3600,3676216205255179776,169981,0,0,0,0,169.981609,0,169.981609,169.98160900000002,5,169.98100000906564,169.98088203592621,169.9811180026361,5,235202787328.0,1000.0,2.176150644572772e-05,0,0,1000.0,169.89603643678265,170.06601745310377,0.0059992396291070615,0.0059992396291070615,PrePeg_OracleRetreat,10000000,5,9999999996000.0,9999999594200.684,2501250.14810479,3998000.760370893,4000.0,1999.2396291070618,0.0,10000000000000.0,9999999994000.76,235202787328.0,4000000.0,0.0,0.0,-1999.2396291070618,0.0
169.98102720188325,169.981609,169.89604731209656,170.0660283392984,169.981,-0.0,-1.4927715210444799e-09,-1.4927715210444799e-09,169.9810000267605,-0.0,0,294003479552.0,0,294003479552.0,0,1,0.005,0.002499053887897404,1000,625,500,3676215911104680448,3676216499405702656,3600,3676216205255179776,169981,0,0,0,0,169.981609,0,169.981609,169.98160900000002,6,169.98100001510798,169.98085846770422,169.98114158581677,6,294003479552.0,1000.0,2.7201883256111614e-05,0,0,1000.0,169.8960418744395,170.06602289620105,0.0074990538878974035,0.0074990538878974035,PrePeg_OracleRetreat,10000000,6,9999999995000.0,9999999492750.852,2001000.119926066,4997500.946112103,5000.0,2499.053887897404,0.0,10000000000000.0,9999999992500.945,294003479552.0,5000000.0,0.0,0.0,-2499.053887897171,0.0
169.98103264226017,169.981609,169.89605274975358,170.06603378239583,169.981,-0.0,-1.4927530095429178e-09,-1.4927530095429178e-09,169.981000035749,-0.0,0,352804169728.0,0,352804169728.0,0,1,0.006,0.002998868146687746,1000,625,500,3676215852274586112,3676216558235807232,3600,3676216205255179776,169981,0,0,0,0,169.981609,0,169.981609,169.98160900000002,7,169.98100002265986,169.98083490753942,169.98116516395854,7,352804169728.0,1000.0,3.264226018018235e-05,0,0,1000.0,169.89604731209656,170.0660283392984,0.008998868146687745,0.008998868146687745,PrePeg_OracleRetreat,10000000,7,9999999994000.0,9999999391301.02,1667500.100656265,5997001.131853312,6000.0,2998.868146687746,0.0,10000000000000.0,9999999991001.133,352804169728.0,6000000.0,0.0,0.0,-2998.868146687746,0.0
169.98103808263716,169.981609,169.89605818741072,170.06603922549337,169.981,-0.0,-1.4927307987785935e-09,-1.4927307987785935e-09,169.98100004624618,-0.0,0,411604858368.0,0,411604858368.0,0,1,0.007,0.003498673702450935,1000,625,500,3676215793444493824,3676216617065911808,3600,3676216205255179776,169981,0,0,0,0,169.981609,0,169.981609,169.98160900000002,8,169.98100003172087,169.98081135542955,169.9811887370628,8,411604858368.0,1000.0,3.80826371610965e-05,0,0,1000.0,169.89605274975358,170.06603378239583,0.010498673702450934,0.010498673702450934,PrePeg_OracleRetreat,10000000,8,9999999993000.0,9999999289851.193,1429285.7991628777,6996501.326297549,7000.0,3498.673702450935,0.0,10000000000000.0,9999999989501.326,411604858368.0,7000000.0,0.0,0.0,-3498.6737024514005,0.0
169.98104352301425,169.981609,169.896063625068,170.06604466859096,169.981,-0.0,-1.4927048897965362e-09,-1.4927048897965362e-09,169.9810000582517,-0.0,0,470405544960.0,0,470405544960.0,0,1,0.008,0.003998479258214124,1000,625,500,3676215734614403584,3676216675896016384,3600,3676216205255179776,169981,0,0,0,0,169.981609,0,169.981609,169.98160900000002,9,169.9810000422906,169.9807878113724,169.98121230513098,9,470405544960.0,1000.0,4.352301425569749e-05,0,0,1000.0,169.89605818741072,170.06603922549337,0.011998479258214123,0.011998479258214123,PrePeg_OracleRetreat,10000000,9,9999999992000.0,9999999188401.37,1250625.0733021153,7996001.520741786,8000.0,3998.4792582141235,0.0,10000000000000.0,9999999988001.521,470405544960.0,8000000.0,0.0,0.0,-3998.4792582141235,0.0
